feature,importance,importance_share
chi_range_x_r_avg,91,0.13421828908554573
r⁺(excl Li⁺) (pm),85,0.12536873156342182
ρ⁺(excl Li⁺) (C m⁻³),83,0.1224188790560472
r⁺(incl Li⁺) (pm),79,0.11651917404129794
Φ⁺(excl Li⁺) (|Z| pm⁻¹),75,0.11061946902654868
χ⁺(excl Li⁺),65,0.09587020648967552
n_Li × r⁻ (pm),58,0.0855457227138643
n_Li,52,0.07669616519174041
nₕₒₛₜ cₐₜᵢₒₙ,50,0.07374631268436578
r⁻ (pm),21,0.030973451327433628
