feature,importance,importance_share
rₐₗₗ (pm),490,0.0626278118609407
Φ⁺(excl Li⁺) (|Z| pm⁻¹),428,0.054703476482617586
χₐₗₗ,427,0.05457566462167689
chi_range_x_r_avg,416,0.053169734151329244
χ⁺(excl Li⁺),393,0.05023006134969325
r_ratio_x_chi_diff,393,0.05023006134969325
nₕₒₛₜ cₐₜᵢₒₙ,391,0.04997443762781186
r⁺(incl Li⁺) - r⁻,382,0.048824130879345604
χ⁺(excl Li⁺) - χ⁻,381,0.04869631901840491
r⁺(incl Li⁺) (pm),368,0.04703476482617587
