parameter,importance
min_child_samples,0.4846759465754896
max_depth,0.20676464897404415
colsample_bytree,0.15757062409910158
subsample,0.09184754603647234
n_estimators,0.026506931317391815
learning_rate,0.02152648802257553
reg_lambda,0.006250895307227039
reg_alpha,0.004856919667697874
