feature,importance
d_mean_c,568
atwt_geometric_mean_all,506
mp_variance_c_l,484
entropy_c_l,472
Vs_variance_c_l,462
r_mean_l,429
ir_mean_square_all,379
rₐₗₗ (pm),350
field_x_r_diff,320
χₐₗₗ,294
chi_range_x_r_avg,279
r⁺(incl Li⁺) - r⁻,268
s_mean_square_c,264
r_ratio_x_chi_diff,264
χ⁺(excl Li⁺) - χ⁻,230
ρ⁺(incl Li⁺) (C m⁻³),228
χ⁺(incl Li⁺) - χ⁻,228
Φ⁺(excl Li⁺) (|Z| pm⁻¹),225
ρ⁺(excl Li⁺) (C m⁻³),219
r⁺(excl Li⁺) - r⁻,214
ρ⁺(incl Li⁺) / ρ⁻,213
n_Li,198
χ⁺(excl Li⁺),190
r⁺(excl Li⁺) (pm),182
r⁺(incl Li⁺) (pm),173
Φ⁺(incl Li⁺) (|Z| pm⁻¹),165
r⁺(incl Li⁺) / r⁻,162
nₕₒₛₜ cₐₜᵢₒₙ,146
n_Li × r⁻ (pm),138
log_rho_ratio,33
ρ⁻ (C m⁻³),21
χ⁻,19
r⁻ (pm),19
χₘₐₓ - χₘᵢₙ,9
