parameter,importance
min_child_samples,0.5046516780541105
max_depth,0.1724048806737246
colsample_bytree,0.09770227606062692
learning_rate,0.06038250168805974
subsample,0.05940956901664983
n_estimators,0.04867612107673575
reg_lambda,0.04239759687814827
reg_alpha,0.01437537655194447
