trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
0,COMPLETE,0.5585303879033499,3,1600,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07
1,COMPLETE,0.5526707417823428,6,1300,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07
2,COMPLETE,0.6201099789127509,4,500,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936
3,COMPLETE,0.5705347616356076,4,500,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05
4,COMPLETE,0.5532786575136636,7,300,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07
5,COMPLETE,0.5579000009479442,-1,2300,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892
6,PRUNED,0.6220485033811336,7,2300,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07
7,COMPLETE,0.5356374458344331,-1,2100,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416
8,PRUNED,0.608045341422467,8,1400,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06
9,COMPLETE,0.5405380309642656,8,600,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788
10,PRUNED,0.6049793563712216,5,1900,0.1787420026976868,24,5,0.5193625999805914,0.975862447567252,37.80747516031668,10.352501001707477
11,COMPLETE,0.5371178201361652,-1,900,0.018597283282763298,61,11,0.7409481648316648,0.8716448625177555,0.0025910223171523522,0.44411365237381617
12,PRUNED,0.7008487983013931,-1,1100,0.017603882995810383,46,6,0.7042257209786791,0.6546984799111754,0.001438199276284204,17.25714824694535
13,PRUNED,0.6026334903311147,-1,900,0.005668556987876377,40,16,0.5127747474052715,0.9239870037577447,0.4999558033625193,0.20913743590562375
14,COMPLETE,0.5680149952609709,10,2000,0.14541732629077195,63,28,0.6201424721738792,0.6707693675530373,3.361843100961712,0.07825066960080047
15,COMPLETE,0.5363504126419362,-1,2500,0.01945966304406648,53,13,0.7498651102346463,0.779590747337984,0.0011827223934645777,0.8352163847302402
16,PRUNED,0.6093137014346075,-1,2400,0.041706345569752085,52,34,0.5713236903307866,0.7425296732106266,42.894493937549996,0.005861700073815664
17,COMPLETE,0.5502427502440785,3,2500,0.05021236735584221,8,15,0.688672075673601,0.6204411482230936,0.13024964867392616,1.6954394388646967
18,PRUNED,0.5652871074617467,6,2000,0.008563726949757856,36,24,0.7957588354978629,0.7940470278560362,0.9265734753473168,0.010037900608609571
19,COMPLETE,0.5448173108683688,10,1700,0.01734336541033408,55,12,0.7569405787682556,0.725546392327622,13.155970687260044,2.1938828855848054
20,PRUNED,0.5555634364419951,5,2200,0.11901759951248103,18,21,0.5673022692698835,0.6123806188064312,2.1532113359082636,0.005635538926352721
21,COMPLETE,0.5363245605975437,-1,900,0.015709912586105233,56,10,0.7506098727589469,0.8638537313693785,0.00120660915846567,0.6404667853256366
22,COMPLETE,0.5353639910360031,-1,2500,0.021363020710003216,55,10,0.6616703820622021,0.8134483911316778,0.005383818272781035,1.5819443748059885
23,PRUNED,0.5699160938650134,-1,1700,0.006888919424448482,42,8,0.6591332501641792,0.8576578756662983,0.004394437424245515,3.3868176911584675
24,COMPLETE,0.5379147844588476,-1,1100,0.012362536371694474,57,10,0.5791432259507946,0.9300232834666234,0.0679592971090516,0.03752098853437646
25,PRUNED,0.5799652551897865,-1,2200,0.023500634038289454,32,28,0.6555230826661725,0.826471839740939,0.00661888334687667,0.0005508209140535153
26,PRUNED,0.5480832748172599,-1,800,0.04768718382411753,49,18,0.7280038692287568,0.9178210148106781,0.002524235833149486,0.3147387356676611
27,PRUNED,0.5960518113397603,-1,1200,0.014041652253762976,22,5,0.7937940311230487,0.701464404059736,0.0010156859792065176,7.076965421191385
28,PRUNED,0.6125931981264737,10,1900,0.023062885184344753,37,40,0.6439311253236688,0.98960929522752,0.01307800034996353,0.02475280616865242
29,PRUNED,0.5590167530276015,7,1500,0.06037784997138129,59,20,0.589436324539841,0.7521188716938686,0.0038721544761471287,6.907237870241734e-05
30,PRUNED,0.5643740876460084,3,2100,0.038733845825716394,7,27,0.6941506552386527,0.8870631484352188,0.008841410489368913,2.5598491265815707e-08
31,COMPLETE,0.5377830644050678,-1,2500,0.022369231632820195,53,13,0.7590176942463857,0.7864836416776673,0.001794742657724368,0.9947664577545587
32,COMPLETE,0.5424397817461563,-1,2400,0.015273867097629953,50,10,0.8217545928584178,0.8206404832167237,0.0010608394994979938,0.5141143440835473
33,COMPLETE,0.5377166453871987,6,2500,0.008875718438156287,57,14,0.6699109977117251,0.6719641218571328,0.004255388401594011,0.19518233835459742
