trial,state,value,param_n_estimators,param_learning_rate,param_minibatch_frac
0,COMPLETE,0.5399862634543753,600,0.0862735828664018,0.8659969709057025
1,COMPLETE,0.5142905913963135,800,0.007979118876474874,0.5779972601681014
2,COMPLETE,0.5190304037893261,200,0.06697167353375243,0.8005575058716043
3,COMPLETE,0.5294051196615444,900,0.005318033256270142,0.9849549260809971
4,COMPLETE,0.5132642710835269,1100,0.009445600138094694,0.5909124836035503
5,PRUNED,0.5784264464271746,400,0.012439367209907218,0.762378215816119
6,PRUNED,0.5716071003858653,600,0.011963764382790322,0.8059264473611898
7,PRUNED,0.5950765992817834,300,0.011996621453406362,0.6831809216468459
8,PRUNED,0.5615490490084993,700,0.05254210669345883,0.5998368910791798
9,COMPLETE,0.5133045085398582,700,0.029493012052163467,0.5232252063599989
10,PRUNED,0.5381239378246444,1200,0.026671766846135977,0.6552925895296956
11,PRUNED,0.5337678781589055,1100,0.028468371143057496,0.5193625999805914
12,PRUNED,0.54464001221909,900,0.03941060454167533,0.5186241764926587
13,PRUNED,0.5177164718913804,1000,0.014860880835294948,0.6636756809879871
14,COMPLETE,0.5113202250795204,500,0.01961288598389251,0.5865599169413144
15,COMPLETE,0.5128206252232773,500,0.017974463045245814,0.6089267919181687
16,PRUNED,0.564861157049216,500,0.017262561344147963,0.7222519871686359
17,PRUNED,0.5286360950055051,400,0.02035961462462537,0.6372424866412404
18,PRUNED,0.5379280198076639,500,0.040995408242805356,0.5749111003838552
19,PRUNED,0.5956693703809613,200,0.019695965306408113,0.7282716783254813
20,PRUNED,0.6186622369920055,400,0.006901370229520053,0.9073918595024489
21,PRUNED,0.5722579521702656,600,0.008816242557904731,0.6119868629523425
22,PRUNED,0.5590433352609127,1200,0.010283993313353602,0.5540936058762542
23,PRUNED,0.5699787345308589,500,0.015464787816393813,0.6286191428179752
24,PRUNED,0.5573913498824907,800,0.024259640905934885,0.6944174682089819
25,PRUNED,0.6508164386834295,300,0.005681881420684663,0.5572092148708926
26,COMPLETE,0.5109443430227641,700,0.03947192607008678,0.6014778189344607
27,PRUNED,0.5278105588012251,800,0.03727085436935517,0.6931801669845663
28,PRUNED,0.54038137942161,600,0.033328264615784475,0.5004785562515935
29,PRUNED,0.5395164830656909,700,0.04927518621966946,0.625233854623375
30,PRUNED,0.5267472450252539,500,0.08436206128821484,0.8879124430248126
31,PRUNED,0.5296957206082138,1000,0.022782461678994788,0.5926208865255067
32,PRUNED,0.523117882442047,700,0.01713818087870164,0.5503252597943916
33,PRUNED,0.5441319536701349,800,0.06392043765567224,0.5853313132674088
34,PRUNED,0.5613614592797465,900,0.008192129247072367,0.6544777133637613
35,PRUNED,0.6056424062953518,300,0.010408731132788774,0.7957588354978629
36,PRUNED,0.5551860603730757,600,0.013848468080771309,0.5588465469671613
37,PRUNED,0.5195697026736923,400,0.018077908044451176,0.6006818104614414
38,PRUNED,0.5623194519899162,1100,0.006243777342322153,0.6441288730999986
39,PRUNED,0.565842990722973,500,0.04738765724044235,0.7639204004636888
40,PRUNED,0.5646486676397028,800,0.010184544884228902,0.9981126922026228
41,PRUNED,0.5321223133367079,700,0.03157695716374511,0.5306551179423568
42,PRUNED,0.5315539894961222,700,0.029399853557586134,0.531038316328485
43,PRUNED,0.5294933730612316,600,0.026210310252481314,0.50298290604962
44,PRUNED,0.527404552756401,1000,0.05903818817475746,0.5752908126695481
45,PRUNED,0.5386819677904923,700,0.03507324357756321,0.6733399935545815
46,COMPLETE,0.5103276430705586,400,0.021339700921941273,0.6132015281090675
47,PRUNED,0.573555320917989,400,0.013409583316969169,0.6114871775878477
48,PRUNED,0.5560113766371702,300,0.02211821704481516,0.6313635235749737
49,PRUNED,0.5362826162513603,200,0.09496886091782235,0.7008511686933929
