trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.500992976330799,3.449402,300,10,0.07259248719561363,4.550475813202184,0.6624074561769746,0.5779972601681014,3.200866785899844e-08,0.6245760287469893,0.49120728102827715,0.25446647683306006,0.09086803513772701,"[0.3286036209098414, 0.5540412773876605, 0.5921766898255535, 0.51964873166602, 0.5104945618649194]"
1,COMPLETE,0.460842616964882,3.028665,500,3,0.13826189316223852,10.779361932748845,0.6849356442713105,0.5909124836035503,3.939402261362697e-07,5.472429642032198e-06,0.22356209648036382,0.24006349946258915,0.09695350687497448,"[0.300196230226254, 0.5490357162781531, 0.5555780627006666, 0.49548131593209915, 0.4039217596872371]"
2,COMPLETE,0.5212704903302965,8.01088,400,5,0.05243180891902853,0.8364645453054501,0.7168578594140873,0.6831809216468459,9.275538076980542e-05,0.1165691561324743,0.007833642249746978,0.26914050035856396,0.0931462545393303,"[0.34289229343849253, 0.5786982094016534, 0.6012030848825448, 0.519042385282133, 0.5645164786466584]"
3,COMPLETE,0.21402561220293698,2.333184,400,7,0.011340440501807348,4.702115628087815,0.6682096494749166,0.5325257964926398,1.7960847528705854,4.905556676028774,4.161912539691215,0.18138087328035601,0.06056197815451558,"[0.3236862854227471, 0.20498407344950317, 0.20120115196922236, 0.1368631723226542, 0.20339337785055808]"
4,COMPLETE,0.46879732911329264,3.360472,300,3,0.06378528225249058,2.5358333235759627,0.6488152939379115,0.7475884550556351,1.9913367728263115e-08,1.527156759251193,0.014407524139905934,0.2419914942989596,0.09452765800595271,"[0.31808056528563894, 0.4528966454424366, 0.5971628557781888, 0.5353558882407105, 0.4404906908194885]"
5,PRUNED,0.37110024272788344,2.382138,500,5,0.04089285700048085,3.7569262495760847,0.6739417822102108,0.9847923138822793,0.05531681668096113,2.854239907497756,10.144964926243938,,,
6,PRUNED,0.41512342302254757,5.252358,400,10,0.012707942999213693,1.0302587393796305,0.6180909155642152,0.6626651653816322,2.4048726561760165e-05,2.7678419414850017e-06,5.132846974139577,,,
7,PRUNED,0.3656812272609016,0.882456,300,5,0.043477055106943,0.8408897660399112,0.9208787923016158,0.5372753218398854,3.845031120156871,0.08916674715636537,0.007756650107886999,,,
8,PRUNED,0.37361161387297387,0.862649,200,9,0.06781546492336318,7.360091638366141,0.9085081386743783,0.5370223258670452,1.3130541002425655e-05,1.1036250149900698e-07,7.315073480547534,,,
9,COMPLETE,0.4835869653027851,9.811933,500,5,0.011878194167382767,1.5746438450976663,0.7300733288106989,0.864803089169032,0.0035163599046376553,0.9658611176861268,0.13006590833121745,0.2442504193294413,0.09601162361322942,"[0.31472746836660587, 0.558640251377729, 0.5860724967184526, 0.5057396099069886, 0.45275500014414916]"
10,COMPLETE,0.5344435808695418,16.525985,600,7,0.02300787305719081,0.5342518154571322,0.8010124870699186,0.7606165441675251,0.0006361091866784225,0.004137630881036838,0.0015089361959238195,0.2739642824385181,0.09780559357462432,"[0.342439838959496, 0.6027740736908772, 0.5976201257623169, 0.5492975170662348, 0.5800863488687841]"
11,COMPLETE,0.5358345124249524,17.072121,600,7,0.021544196181482598,0.5468561354435738,0.814249705614196,0.7409481648316648,0.000820428280394016,0.0035148407688485044,0.0010493776310342001,0.27524980844626856,0.09898813522057123,"[0.3415196745684388, 0.6057225129479566, 0.600088913145784, 0.5515736636446483, 0.5802677978179344]"
12,COMPLETE,0.5318986393097513,18.201595,600,7,0.021784203678737776,0.5239747652954609,0.8374709757162002,0.8263406001124906,0.002883016674438176,0.0007939878088994638,0.0010325506988811738,0.2760791568303923,0.092942261457955,"[0.35155535235792423, 0.5973792616132082, 0.5980621036827364, 0.5360430828384118, 0.5764533960564759]"
13,COMPLETE,0.5317842381655618,18.955355,600,8,0.023598032436461594,0.5063831637498634,0.8089266477456656,0.8095839387020464,0.0039432433754212955,0.0014732697486094415,0.0012086231382384325,0.2726013549119952,0.09635359150758611,"[0.343773999582539, 0.6011893198334378, 0.5958282124935258, 0.5408293442955042, 0.5773003146228018]"
14,PRUNED,0.36570699171221727,1.512051,600,8,0.026989039231935564,19.708291340813847,0.9978298864744672,0.7323688741392262,2.3205236858410617e-06,0.00713951737040431,0.032953116635637,,,
15,COMPLETE,0.5296494663437862,13.298428,600,6,0.01718261737200882,1.49942356957281,0.7640344619104537,0.9056102589139455,0.000561365331826015,4.742843262127169e-05,0.002947228820717095,0.2697607232213896,0.09548125350556906,"[0.34489025316559324, 0.6011503106068199, 0.6024406454499904, 0.5394509284549739, 0.5603151940415535]"
16,PRUNED,0.4546741743713984,3.046194,500,8,0.03177376695056733,1.8166547656465735,0.8557233514323399,0.6679184624224781,0.07379359387928777,0.023160626719843775,0.040230623327597,,,
17,COMPLETE,0.5214954314963578,11.149709,600,6,0.017074220010682283,0.7123060969174275,0.7796496200537952,0.770047510056797,0.12047774454561724,0.0002982120463509099,0.003550453291296041,0.26876568362349057,0.09925040430614071,"[0.3346679016526571, 0.6104988545265745, 0.5906088903017528, 0.5109684554308732, 0.5607330555699314]"
18,PRUNED,0.4860483949098196,9.306916,500,9,0.017391716136083438,1.1724347194367777,0.8823261192889769,0.9134336554829187,0.0003578624810410368,5.3008211082253176e-05,0.00182225359663034,,,
19,PRUNED,0.4519964836308077,3.649544,600,7,0.03156581922186338,2.4594165162968027,0.9659268879092618,0.7058469057351274,1.9736558787517935e-06,0.006093812542810934,0.03488923300980634,,,
20,PRUNED,0.44212842043569917,1.590867,200,4,0.10247280756222547,0.6705890373316171,0.8163894611332052,0.627363043446067,0.013209511858854744,1.2722974438529015e-08,1.617477360371179,,,
21,COMPLETE,0.5286901781153339,17.690431,600,7,0.022948198787907725,0.5252355297575148,0.8454484517444274,0.8197381232974102,0.0012994253347071326,0.0005976376603105192,0.0010565023970359284,0.27238271286991095,0.0965543934502742,"[0.34221728797765333, 0.5960283419058072, 0.5970173351125204, 0.5281335845300715, 0.5800543410506172]"
22,PRUNED,0.46280204424493254,6.534316,600,6,0.020166556708631794,0.5903741476848582,0.8406210499670551,0.7995841296400897,0.00011187003135018028,5.729056974915617e-05,0.00390601046807919,,,
23,COMPLETE,0.5270284914462058,13.182558,500,7,0.015016413496924128,1.0477731264085313,0.756947057934509,0.8757053811457342,0.015643619766698875,0.002640155575526956,0.00928932484807964,0.26734203318839367,0.09636178528471406,"[0.34347629063699264, 0.6031338508068979, 0.5944803957101951, 0.5187861363675877, 0.5752657837093553]"
24,PRUNED,0.4457888612521357,2.215903,600,8,0.029587737205173097,0.8022762527393186,0.8011415969440968,0.7710216668838538,0.48353480565038554,0.03159909970494968,0.002551693624591016,,,
25,PRUNED,0.4551701816589131,5.486447,500,9,0.022974346997367688,1.0537749483125014,0.878135422307605,0.8402836079335082,3.1656732788500815e-05,0.0001700839199459383,0.0010096729944572113,,,
26,COMPLETE,0.5407075020159354,13.925209,600,6,0.03609566268384828,0.5044793426672669,0.7358822769871661,0.7187886875725931,0.0023846692484873373,5.060035870761077e-06,0.004572164022128101,0.27638369865575285,0.09546620571630941,"[0.3602986320431966, 0.584672929594623, 0.6353795426367924, 0.5365587995347659, 0.5866276062702995]"
27,PRUNED,0.46145941241703214,3.915807,500,6,0.03372059068763727,1.3388945910732695,0.7199818163411023,0.7202432327296192,0.0006080344294303651,9.422109233814326e-06,0.01338483612932225,,,
28,PRUNED,0.46407339321000224,3.627191,600,4,0.04442810427948947,2.1068643226325663,0.7495839770528362,0.6323585999023396,0.020690363287231416,2.5560239272794004e-07,0.004372972368341987,,,
29,PRUNED,0.45471725243596794,3.813776,300,6,0.054510119631775475,0.7107112783300555,0.7837899354642407,0.7794187729670929,8.938421127196849e-05,7.505709116224722e-07,20.342891893099278,,,
30,PRUNED,0.43739050575668087,2.322198,600,8,0.08542745841334218,5.478309164033704,0.6983498454795769,0.607315221937208,1.2079103703259329e-07,1.5652272575428654e-05,0.14604748853339888,,,
31,PRUNED,0.4687873656214243,8.143497,600,7,0.025333786071940177,0.517626746097283,0.8249659221252391,0.7085368719961475,0.0036479401204110007,0.0006368262207680351,0.0016178757827570237,,,
32,PRUNED,0.4687132852217629,7.55561,600,7,0.019492545685733973,0.6420356898208944,0.8703571572449531,0.7510230289488433,0.0014080503010899122,0.1457237160960409,0.00538633918222601,,,
33,COMPLETE,0.529343567512323,11.857707,500,6,0.036270882163754695,0.9553360784014316,0.7874914856162016,0.6877390387391756,0.00023572092717378184,0.005938135216330259,0.0023683401507583147,0.2710700743695669,0.09765670070252706,"[0.34423001335007286, 0.6165560244020939, 0.5991083890678648, 0.5268563428423247, 0.5599670678992587]"
34,PRUNED,0.4647596648703217,9.42451,600,7,0.01426629044881569,0.6393273812269133,0.9075441855661845,0.8386222770444929,0.004674602029972111,0.0001639701277336296,0.020260506682607364,,,
35,PRUNED,0.4463038143157615,4.584745,400,8,0.026871650085199306,0.8349196167345119,0.8302757803512272,0.7441276122652702,5.431875284492996e-06,0.3115446438710691,0.36068310570537804,,,
36,PRUNED,0.423652383826961,2.780671,600,4,0.020252081591382313,0.5813893736133793,0.7387302539203627,0.7894562871243929,0.2667503466746654,0.0013523218001535943,0.07112960251923703,,,
37,PRUNED,0.5263041557824462,16.576484,500,5,0.010323806545151604,0.5050599613600479,0.7006370428783895,0.9597775068146595,0.0012467886590836314,0.032834242343103066,0.005844805959291181,,,
38,COMPLETE,0.543613453382939,12.395051,400,7,0.05088699049673902,0.8577708676757811,0.769121587482435,0.6560431032425713,6.60131746172802e-05,1.6349492774783785e-06,0.0020638235768933246,0.27880321548521847,0.1022340115907401,"[0.3511255879030013, 0.6454437329779888, 0.6055058306045246, 0.5407682247488833, 0.5752238906802968]"
39,PRUNED,0.4596164327865824,1.932957,400,6,0.050680417112341586,3.0084295348645713,0.6388303087511908,0.6546405613432235,7.291201732998214e-05,8.05463630584829e-07,1.3574093944979428,,,
40,COMPLETE,0.5577624678411739,6.353472,400,9,0.14896613026381766,0.8522283983306672,0.7778490005012043,0.5778610056515865,3.006399371638803e-05,2.5124643931274395e-06,0.011680740529293604,0.2826334682899433,0.1001945769170677,"[0.36800997036771416, 0.6387613006056632, 0.6432850232883278, 0.5740681878394855, 0.5646878571046786]"
41,COMPLETE,0.5383763546634363,7.810168,400,10,0.12385135837365051,0.8408852395148451,0.7710577326469937,0.5605198026258249,1.2458410886938819e-05,2.470566300612273e-06,0.012128115476242112,0.2728275552388097,0.09248687043991356,"[0.36308244859629785, 0.6222585355260608, 0.5982928366497225, 0.5326883486633409, 0.5755596038817589]"
42,PRUNED,0.46191413956870997,2.438063,400,10,0.1443083047764299,1.2345891669691988,0.7643377863578085,0.5683241842640875,6.125515828642014e-07,3.2809549219734233e-06,0.011189440531074372,,,
43,COMPLETE,0.5513864023819239,7.302413,400,10,0.12065141676242351,0.8790516487429895,0.7399269554656757,0.5705709594247108,1.7580696732339812e-05,1.189619808723914e-06,0.024884450094266083,0.28016154331697923,0.08129612711413602,"[0.3964835484118832, 0.6327328363575374, 0.5959781018529496, 0.562314346308799, 0.5694231789784504]"
44,COMPLETE,0.5329463329178729,8.362539,400,10,0.12151259434587462,0.8514862954129365,0.7012214698121078,0.5083002373234581,1.1745118582397799e-05,6.904462228873785e-08,0.018045336661293834,0.2696917213227287,0.09660216810794267,"[0.34856613436633094, 0.6092946436956893, 0.6101457765429723, 0.5342257530707815, 0.56249935691359]"
45,COMPLETE,0.5345225771647484,6.380115,400,9,0.12039385392099301,1.5401564477639895,0.7301906662915154,0.5678899410865078,3.360271654460919e-05,1.4240205626547244e-06,0.058661284134492064,0.2756291378282023,0.07646922645912262,"[0.3863308114568629, 0.6078503159867797, 0.562631195606104, 0.5549996149271679, 0.5608009478468275]"
46,COMPLETE,0.5333858671761428,5.661854,300,10,0.08157825942686157,0.9233484143450975,0.6641091817195071,0.5932246238736224,4.946023302727194e-06,1.2230369561433827e-07,0.023584509700281118,0.2719864816164741,0.08847538919943512,"[0.361796320569286, 0.6110042406426618, 0.5744391105818023, 0.5427222500565788, 0.5769674140303848]"
47,COMPLETE,0.5449491290652644,6.326843,300,10,0.12761521729878933,0.7528117915113339,0.7452566104146443,0.5448449933109706,1.3278725423358752e-06,1.4328834761127578e-05,0.007908177421085455,0.27670410927356104,0.0949407605190548,"[0.3595507988209276, 0.6261591475436186, 0.5948308934339919, 0.5637855187501105, 0.5804192867776733]"
48,PRUNED,0.4246847770290544,1.018773,300,9,0.09872976163392866,9.482702562658984,0.7455170157811195,0.5138125761488908,6.846449782191577e-08,1.1940992797077559e-05,0.005510428541317716,,,
49,PRUNED,0.45726926845279625,1.543086,300,9,0.14662447502075715,1.783391225579071,0.718339021498573,0.544450555249939,9.437065189710564e-07,5.393377992506425e-07,0.008615057818207346,,,
