trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.5500048075077075,156.051993,300,7,0.07259248719561363,1.2067245262919604,0.004207988669606638,0.7799726016810132,0.2844092370149989,0.020238507953592184,"[0.582915917357032, 0.535889634602171, 0.5492087873189259, 0.558368238971132, 0.5236414592892769]"
1,COMPLETE,0.5178851798923589,21.307031,100,7,0.05092911283433821,2.897705266717829,0.0012087541473056963,4.8495492608099715,0.26638663820132025,0.03846665781690169,"[0.5318113968803161, 0.49891873084298966, 0.5407868338177043, 0.5644556048084902, 0.4534533331122943]"
2,COMPLETE,0.48000561015889953,15.593531,500,4,0.016362239850894633,0.04342298948286135,0.016480446427978974,2.6237821581611893,0.2577353494372816,0.06321424534684614,"[0.4851857262874331, 0.558484291549096, 0.49504098943056235, 0.49660597865931755, 0.36471106486808874]"
3,COMPLETE,0.5530402295035435,14.716996,300,5,0.05243180891902853,0.030551818670802627,0.01474275315991467,1.8318092164684585,0.286211993147669,0.05003604940034763,"[0.5798203707437258, 0.6236846408963954, 0.5238400351716226, 0.5615325659015894, 0.47632353480438433]"
4,COMPLETE,0.4997242001831371,54.780405,300,7,0.017172542103877867,0.613840438900799,0.23423849847112907,0.23225206359998862,0.26456203726999633,0.04045694472038049,"[0.5162973740411728, 0.49564055567842624, 0.4784962876620686, 0.5649361057768835, 0.44325067775713417]"
5,COMPLETE,0.46944054773544847,12.226174,400,4,0.011926324174062874,19.924621034349894,7.2866537374910445,4.041986740582305,0.24924654117411796,0.0761853124205272,"[0.47289548461272485, 0.6035391065401375, 0.4755282843518143, 0.41596641265955986, 0.3792734505130057]"
6,COMPLETE,0.5279039015635905,6.120874,200,4,0.06378528225249058,0.3392060513051209,0.003077180271250686,2.475884550556351,0.2775147406634167,0.054035140230580946,"[0.48869412878114815, 0.6235294615450545, 0.5147808676472347, 0.5437273970377765, 0.46878765280673856]"
7,PRUNED,0.4898790471455551,6.869245,100,7,0.020153425505297702,2.0121961636102865,0.017654048052495083,2.600340105889054,,,
8,COMPLETE,0.5551126530980675,11.731716,400,4,0.13814017620274424,4.957135786745318,5.727904470799623,4.474136752138244,0.28467858159502163,0.04972120247507981,"[0.5156100753172327, 0.6305758009035453, 0.5330036362019174, 0.5957321610510427, 0.5006415920165991]"
9,PRUNED,0.5272637390748395,26.991785,400,7,0.012707942999213693,0.04802376182711899,0.0015167330688076208,1.6266516538163218,,,
10,COMPLETE,0.5547096476314252,30.688288,600,5,0.13812240169527853,19.237031397185078,8.619793555713162,3.939212978268535,0.2858465680211245,0.07568216073725743,"[0.5480491600471149, 0.6505124872614648, 0.5449023395684204, 0.6049676314766924, 0.42511661980343324]"
11,COMPLETE,0.5430161710484549,29.924192,600,5,0.1431621036084421,29.369533280921587,9.62071942938879,3.878591856443671,0.2824325602713387,0.05462520889041456,"[0.5524813130362167, 0.5798585402419729, 0.5059458555228064, 0.6160369542266912, 0.4607581922145873]"
12,COMPLETE,0.5422329422277226,29.95819,600,5,0.1485959232210712,7.278205855937107,1.9925474482381487,4.9886938680248,0.2818113510703203,0.024403427556238554,"[0.5686281489181301, 0.5487867423667749, 0.5334781474662141, 0.5607025727701324, 0.4995690996173612]"
13,COMPLETE,0.5460512407979878,43.53483,500,6,0.09691677602831653,7.539878603184571,1.0854778307189492,3.7841333992934247,0.2851691491383675,0.03668774194403658,"[0.5421533579009218, 0.5997984016956756, 0.5441937642178519, 0.5585994540329654, 0.4855112261425245]"
14,COMPLETE,0.5215743481151842,43.679324,500,6,0.0335344862457016,7.620875190155199,1.299550589539396,3.3832780029947824,0.27637101325782326,0.06715706113069826,"[0.5250149183597003, 0.6128160518003191, 0.4893682552889607, 0.5652515406031241, 0.4154209745238167]"
15,COMPLETE,0.5467890013209127,17.612989,600,4,0.10312767144856401,0.1690438465739897,0.25571722688477666,4.351326111778194,0.2874317693008626,0.047722985038585,"[0.5718920521585114, 0.6148175524821279, 0.5191371897822947, 0.5541798013862683, 0.4739184107953612]"
16,COMPLETE,0.5065067146540914,20.635686,400,5,0.03495337593931401,13.140252724822165,3.289121049506497,3.2561396552114963,0.26591303762115,0.05634271664109996,"[0.5717356394952477, 0.48280871275002996, 0.503320839367352, 0.5591352337228769, 0.4155331479349498]"
17,COMPLETE,0.5471375851089841,43.039507,500,6,0.09224657392762665,3.4500833715131356,0.44369124423312967,3.1088983504068937,0.2835819946880992,0.049458635507165775,"[0.5685610581592454, 0.6056480764723371, 0.5463046841178968, 0.558671089518063, 0.45650301727737846]"
18,PRUNED,0.561671293419453,2.43783,200,4,0.12004446204246932,1.0547566735434242,3.8720671759300496,4.390750362810886,,,
19,PRUNED,0.5590882314629821,12.350347,600,5,0.08099809739025919,5.6506672967105604,0.06694477332693391,4.4388723541807105,,,
20,PRUNED,0.5439198892461009,2.557028,200,4,0.026393663853422508,0.16793146822892513,0.08129729922774945,3.6088391550467924,,,
21,COMPLETE,0.5479920053708124,16.728551,300,5,0.05267725396580083,0.09285658026153726,0.010637210556042337,1.7329678830573365,0.2824761102052086,0.04931191581399375,"[0.5863596274175672, 0.6044955902216064, 0.5254547820350758, 0.5585666794731062, 0.4650833477067063]"
22,COMPLETE,0.5509639136294189,22.246894,400,5,0.04760670803355573,0.010032759997847997,0.5436276698358551,1.7455198366464995,0.2841093085470864,0.04747883573373039,"[0.5886999457548115, 0.6120578238821994, 0.5271023086817176, 0.5504609781506811, 0.47649851167768453]"
23,COMPLETE,0.5349255260399329,27.107853,300,6,0.11686827328573092,15.340668587278056,0.032949000789371775,1.262040127350067,0.2756758225046103,0.05847477216473759,"[0.5553677611036091, 0.5985403945942059, 0.5255596109744549, 0.5674177840871676, 0.4277420794402271]"
24,PRUNED,0.5434588390792368,4.143766,200,5,0.06217671580878672,0.015223009953374106,4.260789095671319,2.195613793467158,,,
25,COMPLETE,0.5725575167822637,24.859809,500,5,0.12205606270677599,0.02309558536422056,0.006710236333094546,0.9534300026248776,0.2931733052639095,0.022190388552396176,"[0.6098857881918543, 0.5700882494765313, 0.54402165931572, 0.5800796539620001, 0.5587122329652131]"
26,COMPLETE,0.5928405079378153,14.301248,500,4,0.1231437535430357,0.42470575595078175,0.0046734920311894065,0.35179679516323814,0.30907575779083796,0.037693357111027455,"[0.6605201959681691, 0.6060871101335573, 0.5555228874194401, 0.5725312269102352, 0.5695411192576744]"
27,COMPLETE,0.5627782594635403,14.290915,500,4,0.11603991640176285,0.30517107585010256,0.004899564391648433,0.03550028950883333,0.2986845457389184,0.020349257258118238,"[0.583991066566051, 0.5746414532983266, 0.5270607479448458, 0.574111841115748, 0.5540861883927302]"
28,COMPLETE,0.5858787433460095,14.641685,500,4,0.08692160724749123,0.3335001258538605,0.005024067938991481,0.16227633285562504,0.30951444312597937,0.04190612471005309,"[0.6312762209745808, 0.619321319136673, 0.5398494583784335, 0.6078420393991605, 0.5311046788412]"
29,COMPLETE,0.566144128953759,14.343414,500,4,0.08657594215484085,0.9585845886894033,0.005248970382159037,0.6373784214454985,0.296040028061427,0.03998294353588242,"[0.627078166217952, 0.5843664261386902, 0.5510330982861784, 0.5630085515158124, 0.505234402610162]"
