model,status,cv_mae,train_mae,test_mae,test_rmse,test_r2
lightgbm,ok,0.5189020022497921,0.2062357192394273,0.4764454728623953,0.6229125761348422,0.6733442218420855
random_forest,ok,0.5154459105993907,0.2240731384901569,0.49024605049909337,0.6431163525440149,0.6518108356332475
decision_tree,ok,0.5494456885375775,0.45318659336792944,0.6299422189096104,0.8752145107370453,0.35514040577133443
mlp,ok,0.7173020925783293,0.4889021208682128,0.6409169026844577,0.8116626794154063,0.4453905037829555
ngboost,ok,0.5151438064028226,0.2161896730346193,0.4991107941847605,0.6691687006115624,0.6230294829843237
