trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
0,COMPLETE,0.4938773983563213,34.757123,300,7,0.07259248719561363,1.2067245262919604,0.004207988669606638,0.7799726016810132
1,COMPLETE,0.5004424397816185,12.124566,100,7,0.05092911283433821,2.897705266717829,0.0012087541473056963,4.8495492608099715
2,COMPLETE,0.4374648673236662,10.86513,500,4,0.016362239850894633,0.04342298948286135,0.016480446427978974,2.6237821581611893
3,COMPLETE,0.45663616004579033,10.799449,300,5,0.05243180891902853,0.030551818670802627,0.01474275315991467,1.8318092164684585
4,COMPLETE,0.44822046603289883,36.233022,300,7,0.017172542103877867,0.613840438900799,0.23423849847112907,0.23225206359998862
5,PRUNED,0.30411887691724826,3.471565,400,4,0.011926324174062874,19.924621034349894,7.2866537374910445,4.041986740582305
6,PRUNED,0.3473005547993155,1.70238,200,4,0.06378528225249058,0.3392060513051209,0.003077180271250686,2.475884550556351
7,PRUNED,0.33793927931410495,4.899362,100,7,0.020153425505297702,2.0121961636102865,0.017654048052495083,2.600340105889054
8,COMPLETE,0.47975207655110186,9.656406,400,4,0.13814017620274424,4.957135786745318,5.727904470799623,4.474136752138244
9,PRUNED,0.3557791551339843,18.215684,400,7,0.012707942999213693,0.04802376182711899,0.0015167330688076208,1.6266516538163218
10,PRUNED,0.32291573255457817,2.014924,100,6,0.03203999390196693,17.492812484816653,0.3633741340913686,3.6659917220226035
11,COMPLETE,0.4896624625489596,34.077282,600,6,0.09490341474054267,0.8286674947620709,0.001084644171706918,0.046136865642064984
12,PRUNED,0.3388137386679593,5.789922,200,6,0.03597119048571219,4.20724464804582,0.005455670944301919,4.990666739253943
13,PRUNED,0.45545593139820845,14.61521,200,7,0.07178281181436032,0.1592278640109093,0.07495849797769727,0.7738302014902743
14,PRUNED,0.34141982700426177,1.209506,100,5,0.04884213175533659,1.8634421369066707,0.0056251036036845305,3.3874364482758654
15,PRUNED,0.4876084863450132,27.613872,600,6,0.09780957310627988,0.1690438465739897,0.07390754602675287,1.1198686295234248
16,PRUNED,0.4155620598528361,14.25542,300,7,0.02615389613340633,7.777636493212908,1.3264047601077698,3.243183259222047
17,PRUNED,0.4220163982052566,9.408403,200,7,0.08770150395710863,1.42943691434234,0.0037361813462975105,1.439546497325321
18,COMPLETE,0.47957505979741155,17.010522,500,5,0.1431293171685342,0.2670465596639928,0.0010532815592182226,2.1138165867229737
19,PRUNED,0.3960784807102951,2.434523,100,6,0.04147832317031564,8.074702953079488,0.03670798156614669,0.6729547068852693
20,COMPLETE,0.5126362334886343,65.541853,500,7,0.06484572819620438,0.09111096892737937,0.008891369091500536,4.782664449671745
21,PRUNED,0.4079985667261637,27.587104,500,7,0.06529621289575983,0.09285658026153726,0.00912579711440285,4.897830721424662
22,PRUNED,0.4196580973626619,23.73671,500,7,0.04949789956651071,0.012078350351506504,0.0022574369457993354,4.254889723505461
23,COMPLETE,0.5012404894810469,18.951272,300,6,0.08313973231591378,1.2152352540582705,0.032949000789371775,4.570931995147546
24,COMPLETE,0.5085387190576214,45.294561,600,6,0.1165792261262146,2.5035219473840367,0.02483842581275568,4.65461076287524
25,PRUNED,0.420063333394449,18.077564,600,6,0.12056159458429243,0.4782090438082928,0.041368999427323486,3.9325714571027968
26,PRUNED,0.41234863299488644,10.771355,600,5,0.11471650756840442,0.8397918571531037,0.02765104112494077,4.499199802634505
27,COMPLETE,0.5032315904497932,42.580869,500,6,0.08398381883550103,0.10326172875089015,0.40997702744830183,3.283407407475332
28,COMPLETE,0.4998880571044011,31.123679,500,6,0.11953723438338897,0.0704060887049927,0.22313467252218883,3.0304966583141018
29,PRUNED,0.35776277815946766,8.161169,600,5,0.06049433334227311,0.012587016271103826,0.9735323727668419,3.7146872389965306
30,PRUNED,0.4188349237228671,13.458952,500,6,0.08016946380422786,0.14850305513143702,1.069692780182428,4.2484940710183725
31,PRUNED,0.4116076367293837,9.279337,400,6,0.10097433555508459,0.022147518904521147,0.11915298044769138,4.638070332656915
32,COMPLETE,0.5054297572026403,37.117022,600,6,0.07854218078457245,0.34976200465082224,0.5294414961587239,4.626003013367489
33,PRUNED,0.3536938019510296,14.316731,600,6,0.07344585530882831,0.08912713582026421,0.645358460437452,4.156257607819711
34,COMPLETE,0.5050830630205828,18.826181,600,5,0.10663101832002428,0.3265981243799063,2.020789329679306,3.7509801612050535
35,PRUNED,0.41352541400142295,7.365065,600,5,0.11219534195779626,0.32214154116634225,3.2491572558198527,4.723332666996002
36,PRUNED,0.3843647063608191,9.194577,600,5,0.05515029815109744,0.23540068131911093,1.812377403805067,3.7718883061812796
37,PRUNED,0.4191598289483654,11.247353,600,5,0.1466919021623327,0.49390473409552305,2.715742487559757,4.422239039828961
38,PRUNED,0.4435212773772495,5.39403,500,4,0.10563326061554275,0.734766475192406,0.01070972151821785,4.958653523421405
39,COMPLETE,0.49331966208902794,27.424849,600,5,0.1280635430158439,0.029352167615762197,0.16753274096057388,3.963463556665139
40,PRUNED,0.44252720570741944,28.285734,500,7,0.04322018878894544,0.05166599356728646,4.768499909831713,2.917271325954172
41,PRUNED,0.44289363143654503,11.394921,500,6,0.07540647230552212,0.14297934095133427,0.4674934503899725,3.4640793949893993
42,PRUNED,0.41919984707754177,9.779492,400,6,0.09070319814826061,0.4044991287776265,0.3449475389823763,2.32526933901226
43,PRUNED,0.4222341500744624,12.021995,500,6,0.06743152686021844,0.21116255187015034,0.6555456253852836,2.904186107083956
44,PRUNED,0.40780615244851437,9.3367,600,5,0.05778571275885363,0.10216709593739369,2.472446083845504,4.290124128286099
45,PRUNED,0.39522121601597193,15.427787,600,6,0.08340807265637884,0.06831846958982514,9.157157018751187,4.759511106739395
46,PRUNED,0.48010957600798565,8.900329,500,4,0.10170686902609366,0.11977505961036307,0.02052118875227483,3.485541232194577
47,PRUNED,0.38620292957216873,23.687044,400,7,0.1266015931620623,2.6876721395654237,0.11282870213013668,3.9111766456812442
48,PRUNED,0.4403518177792646,29.372288,600,7,0.09341032112197442,0.595537797153379,0.009210796133860158,3.120371030015994
49,PRUNED,0.4344702785673019,11.902449,500,6,0.03254192919442317,0.32916430855176737,0.050905524466484525,2.766370901615992
