feature,importance,importance_share
χ⁺(excl Li⁺),363,0.19380672717565403
n_Li,346,0.1847303790710091
Φ⁺(excl Li⁺) (|Z| pm⁻¹),322,0.17191671115856913
ρ⁺(excl Li⁺) (C m⁻³),249,0.13294180459156432
r⁺(excl Li⁺) (pm),217,0.11585691404164442
nₕₒₛₜ cₐₜᵢₒₙ,143,0.07634810464495462
r⁻ (pm),137,0.07314468766684463
χ⁻,96,0.05125467164975974
