parameter,importance
min_child_samples,0.6154275293555359
colsample_bytree,0.1894435144929044
max_depth,0.11155153477919139
reg_lambda,0.039958855862461576
learning_rate,0.014811036373078618
subsample,0.013653951342422496
n_estimators,0.010213934793246095
reg_alpha,0.004939643001159577
