trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda
0,COMPLETE,0.5202498254500068,0.476724,300,10,0.07259248719561363,4.550475813202184,0.6624074561769746,0.5779972601681014,3.200866785899844e-08,0.6245760287469893,0.49120728102827715
1,COMPLETE,0.5227434244703445,0.394176,500,3,0.13826189316223852,10.779361932748845,0.6849356442713105,0.5909124836035503,3.939402261362697e-07,5.472429642032198e-06,0.22356209648036382
2,COMPLETE,0.5757465211606564,0.774201,400,5,0.05243180891902853,0.8364645453054501,0.7168578594140873,0.6831809216468459,9.275538076980542e-05,0.1165691561324743,0.007833642249746978
3,COMPLETE,0.19546519580122187,0.30282,400,7,0.011340440501807348,4.702115628087815,0.6682096494749166,0.5325257964926398,1.7960847528705854,4.905556676028774,4.161912539691215
4,COMPLETE,0.5385797059625049,0.459382,300,3,0.06378528225249058,2.5358333235759627,0.6488152939379115,0.7475884550556351,1.9913367728263115e-08,1.527156759251193,0.014407524139905934
5,COMPLETE,0.453162662499271,0.640764,500,5,0.04089285700048085,3.7569262495760847,0.6739417822102108,0.9847923138822793,0.05531681668096113,2.854239907497756,10.144964926243938
6,COMPLETE,0.5239819999515273,0.965887,400,10,0.012707942999213693,1.0302587393796305,0.6180909155642152,0.6626651653816322,2.4048726561760165e-05,2.7678419414850017e-06,5.132846974139577
7,COMPLETE,0.4376602617825634,0.30123,300,5,0.043477055106943,0.8408897660399112,0.9208787923016158,0.5372753218398854,3.845031120156871,0.08916674715636537,0.007756650107886999
8,COMPLETE,0.5612764254408774,0.310809,200,9,0.06781546492336318,7.360091638366141,0.9085081386743783,0.5370223258670452,1.3130541002425655e-05,1.1036250149900698e-07,7.315073480547534
9,COMPLETE,0.5250185474139969,0.989477,500,5,0.011878194167382767,1.5746438450976663,0.7300733288106989,0.864803089169032,0.0035163599046376553,0.9658611176861268,0.13006590833121745
10,COMPLETE,0.5535144155576119,1.872529,600,7,0.02300787305719081,0.5342518154571322,0.8010124870699186,0.7606165441675251,0.0006361091866784225,0.004137630881036838,0.0015089361959238195
11,COMPLETE,0.47964494786003503,0.319189,200,8,0.10542678149087867,15.62522308696725,0.95621601194762,0.6811526215520515,1.3951702270263803e-05,4.694221200463742e-08,29.403735360126653
12,COMPLETE,0.5621839595857093,0.36189,200,9,0.024829981777158228,7.691799232842705,0.8624306017432583,0.6379152644536915,8.956763174636583e-06,0.00042371132433695466,0.034037376921367477
13,COMPLETE,0.5575627624344157,0.476228,200,6,0.024808332607780023,2.2510457472970016,0.8169821483540661,0.6714129799598364,1.262638758238447e-06,0.0008165294552131903,0.030240861439951743
14,COMPLETE,0.38005728199587413,0.376724,600,4,0.030109076936053542,19.708291340813847,0.8524337374155861,0.7734488559501566,0.00023904418354742053,0.015936847132187043,0.0016749705463025726
15,COMPLETE,0.48831548841320177,0.340544,300,8,0.018097101071645513,9.207489661844567,0.7406086632532848,0.8449184992167584,0.005213518167273902,6.021858159982118e-05,0.05450071585906277
16,COMPLETE,0.5231130647767496,0.438038,400,6,0.048076930149961214,6.47964571780178,0.8642396983313834,0.6289222866088006,6.177381852711006e-07,8.145203202357507e-05,0.005210647759443345
17,COMPLETE,0.5688155364746796,0.848674,400,8,0.03208122418549757,1.524153491798256,0.7518932831173714,0.71804991678614,9.533789186752619e-05,0.04913827969642329,1.0120670681138932
18,COMPLETE,0.5591183109494664,0.999142,500,8,0.03255107259045936,1.4911809122629578,0.7373448311491049,0.7163970958453695,0.04697488188069793,0.1400120964242703,1.0530754831817026
19,COMPLETE,0.5661791439615017,0.868496,400,4,0.09126830633733067,0.5863816307927069,0.764088169035724,0.8286414613888595,0.000147869604606343,0.010797619250327605,1.3196513149726141
20,COMPLETE,0.5547680534579564,1.177244,500,6,0.05413014706512492,1.1110987781903494,0.7740812127110301,0.9192935333529578,0.002681809093983403,0.05257469013424376,0.13074439692131493
21,COMPLETE,0.5753690896155889,0.888229,400,4,0.09088720632102755,0.5445035655839654,0.711932372856154,0.8267734206630653,8.546288673758462e-05,0.006225305006843439,1.3440976305783676
22,COMPLETE,0.569673550676015,0.746309,400,4,0.14852879410867684,0.8340413475818094,0.7123309056025083,0.7999746865540719,9.157985660315282e-05,0.00305428658671353,1.4399195554776627
23,COMPLETE,0.5536382428526182,0.699977,300,4,0.14092014370207998,0.6969219884655407,0.7075054218178798,0.8078067235823555,1.9630157785916563e-06,0.004437243475348192,2.305224213443817
