trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.5170607612741366,3.145387,300,10,0.07259248719561363,4.550475813202184,0.6624074561769746,0.5779972601681014,3.200866785899844e-08,0.6245760287469893,0.49120728102827715,0.2627078780179576,0.05199654334539327,"[0.5382469590588311, 0.54259642852353, 0.539540737172591, 0.5514434642640208, 0.4134762173517097]"
1,COMPLETE,0.47062742464062424,3.089392,500,3,0.13826189316223852,10.779361932748845,0.6849356442713105,0.5909124836035503,3.939402261362697e-07,5.472429642032198e-06,0.22356209648036382,0.23754961393016255,0.0974857429651456,"[0.4980357440146115, 0.519231604058844, 0.5814842293703242, 0.4627920390133445, 0.2915935067459968]"
2,COMPLETE,0.5430757219090623,8.124546,400,5,0.05243180891902853,0.8364645453054501,0.7168578594140873,0.6831809216468459,9.275538076980542e-05,0.1165691561324743,0.007833642249746978,0.2798794848144436,0.06414603860311041,"[0.5519425287594553, 0.6095337251732664, 0.4694254611351409, 0.6152196842485124, 0.4692572102289363]"
3,COMPLETE,0.1953234769807571,2.251433,400,7,0.011340440501807348,4.702115628087815,0.6682096494749166,0.5325257964926398,1.7960847528705854,4.905556676028774,4.161912539691215,0.16718326589010693,0.0667118197978592,"[0.12347172578132119, 0.15613010983793427, 0.31328824712118497, 0.22027062681391582, 0.1634566753494293]"
4,COMPLETE,0.48537142176666215,3.474201,300,3,0.06378528225249058,2.5358333235759627,0.6488152939379115,0.7475884550556351,1.9913367728263115e-08,1.527156759251193,0.014407524139905934,0.2501251668155139,0.06649132851148758,"[0.452973394134935, 0.5378401068631365, 0.50412759711616, 0.558687000660362, 0.3732290100587173]"
5,PRUNED,0.33522068834994884,1.401181,500,5,0.04089285700048085,3.7569262495760847,0.6739417822102108,0.9847923138822793,0.05531681668096113,2.854239907497756,10.144964926243938,,,
6,COMPLETE,0.49906072541046154,8.552532,400,10,0.012707942999213693,1.0302587393796305,0.6180909155642152,0.6626651653816322,2.4048726561760165e-05,2.7678419414850017e-06,5.132846974139577,0.2543354193489152,0.08426726592979275,"[0.5010881364512962, 0.6082258055425481, 0.4598352138070962, 0.5617065202877719, 0.36444795096359534]"
7,PRUNED,0.18265784030281645,0.886817,300,5,0.043477055106943,0.8408897660399112,0.9208787923016158,0.5372753218398854,3.845031120156871,0.08916674715636537,0.007756650107886999,,,
8,PRUNED,0.5192014076128914,0.87949,200,9,0.06781546492336318,7.360091638366141,0.9085081386743783,0.5370223258670452,1.3130541002425655e-05,1.1036250149900698e-07,7.315073480547534,,,
9,COMPLETE,0.48539751241002926,9.515212,500,5,0.011878194167382767,1.5746438450976663,0.7300733288106989,0.864803089169032,0.0035163599046376553,0.9658611176861268,0.13006590833121745,0.24885270342147722,0.07871604083026816,"[0.49551226289168726, 0.5787682277068116, 0.4686401263014171, 0.5372148438533809, 0.34685210129684957]"
10,COMPLETE,0.5707075542342581,16.874429,600,7,0.02300787305719081,0.5342518154571322,0.8010124870699186,0.7606165441675251,0.0006361091866784225,0.004137630881036838,0.0015089361959238195,0.2928601560867711,0.043319245792341435,"[0.5357997519731906, 0.6067770935646398, 0.5680039429939464, 0.630022153453947, 0.512934829185567]"
11,COMPLETE,0.5649150399707508,17.667019,600,7,0.021544196181482598,0.5468561354435738,0.814249705614196,0.7409481648316648,0.000820428280394016,0.0035148407688485044,0.0010493776310342001,0.2919869153636879,0.051532649169586706,"[0.5320729710045654, 0.6103305632449734, 0.5619674330882704, 0.6311016991731689, 0.4891025333427761]"
12,COMPLETE,0.5522950075661517,18.158092,600,7,0.021784203678737776,0.5239747652954609,0.8374709757162002,0.8263406001124906,0.002883016674438176,0.0007939878088994638,0.0010325506988811738,0.28359284940666807,0.059202905976925214,"[0.4949971127151736, 0.5993866410616083, 0.5617158395588521, 0.6299379298714333, 0.47543751462369094]"
13,COMPLETE,0.5457645781287938,18.374614,600,8,0.023598032436461594,0.5063831637498634,0.8089266477456656,0.8095839387020464,0.0039432433754212955,0.0014732697486094415,0.0012086231382384325,0.2815489214375192,0.07274368279965698,"[0.49190995046433666, 0.6057146756017748, 0.5646087958677929, 0.6315235063078299, 0.43506596240223455]"
14,PRUNED,0.13980091780962772,1.20383,600,8,0.026989039231935564,19.708291340813847,0.9978298864744672,0.7323688741392262,2.3205236858410617e-06,0.00713951737040431,0.032953116635637,,,
15,COMPLETE,0.5403593281721271,12.953069,600,6,0.01718261737200882,1.49942356957281,0.7640344619104537,0.9056102589139455,0.000561365331826015,4.742843262127169e-05,0.002947228820717095,0.2746445977778538,0.061779951789118735,"[0.5519273812097149, 0.5961865004062413, 0.47403609995287405, 0.6154340895095887, 0.46421256978221703]"
16,COMPLETE,0.5363351384112935,6.704364,500,8,0.03177376695056733,1.8166547656465735,0.8557233514323399,0.6679184624224781,0.07379359387928777,0.023160626719843775,0.040230623327597,0.27228049457376285,0.07210784753058642,"[0.5549764016643338, 0.6073372035115018, 0.4700750736380375, 0.6139327381717098, 0.4353542750708848]"
17,COMPLETE,0.5186627935044681,9.345115,600,6,0.017074220010682283,0.7123060969174275,0.7796496200537952,0.770047510056797,0.12047774454561724,0.0002982120463509099,0.003550453291296041,0.26264223237509315,0.10254386575866313,"[0.5256237268833607, 0.642968414989183, 0.4644925637468013, 0.6049536161144428, 0.35527564578855225]"
18,COMPLETE,0.5321381340352359,14.184354,500,9,0.017391716136083438,1.1724347194367777,0.8823261192889769,0.9134336554829187,0.0003578624810410368,5.3008211082253176e-05,0.00182225359663034,0.2720319707367215,0.07368756962814745,"[0.548325298015029, 0.6043548555966399, 0.46021870209859794, 0.6143495891434242, 0.43344222532248855]"
19,COMPLETE,0.5434985531929077,9.297383,600,7,0.03156581922186338,2.4594165162968027,0.9659268879092618,0.7058469057351274,1.9736558787517935e-06,0.006093812542810934,0.03488923300980634,0.2770055546980444,0.06802303635528888,"[0.5590667096934864, 0.6171164702828758, 0.46433401238931316, 0.6131753429287123, 0.46380023067015114]"
20,COMPLETE,0.542604682932867,4.582816,200,4,0.10247280756222547,0.6705890373316171,0.8163894611332052,0.627363043446067,0.013209511858854744,1.2722974438529015e-08,1.617477360371179,0.2796686994024598,0.06069025162814202,"[0.5356682984104498, 0.611265190845001, 0.47191286809019833, 0.6127262160260271, 0.48145084129265897]"
21,PRUNED,0.5468495382717999,6.952287,600,7,0.022948198787907725,0.5252355297575148,0.8454484517444274,0.8197381232974102,0.0012994253347071326,0.0005976376603105192,0.0010565023970359284,,,
22,COMPLETE,0.5430802895422064,15.81776,600,6,0.020166556708631794,0.5903741476848582,0.8406210499670551,0.7995841296400897,0.00011187003135018028,5.729056974915617e-05,0.00390601046807919,0.27813398349981827,0.06351523273930154,"[0.5344470128940286, 0.6081676130312047, 0.4584622103738476, 0.6215952364338914, 0.4927293749780599]"
23,PRUNED,0.5707177731072932,4.88355,500,7,0.015016413496924128,1.0477731264085313,0.756947057934509,0.8757053811457342,0.015643619766698875,0.002640155575526956,0.00928932484807964,,,
24,COMPLETE,0.5135323195255987,4.997352,600,8,0.029587737205173097,0.8022762527393186,0.8011415969440968,0.7710216668838538,0.48353480565038554,0.03159909970494968,0.002551693624591016,0.25788672293278886,0.0900750357553817,"[0.5489888333668128, 0.5948088527558056, 0.4693822135963212, 0.5958181393139901, 0.3586635585950635]"
