model,status,tuning_weighted_macro_f1,tuning_doi_macro_f1,validation_weighted_macro_f1,validation_macro_f1,validation_doi_macro_f1,validation_balanced_accuracy,validation_accuracy,validation_weighted_log_loss,validation_weighted_ordinal_mae,validation_weighted_severe_reversal_rate,best_trial,elapsed_minutes
catboost,ok,0.5232272300588142,0.289072347072347,0.5232272300588142,0.41471098760101316,0.289072347072347,0.431075932314021,0.44339622641509435,0.8658030845606504,0.587824675324675,0.18447330447330423,10,4.511920563750027
lightgbm,ok,0.5121274800310078,0.275655705107318,0.5121274800310078,0.43463626690986473,0.275655705107318,0.44685421101965384,0.45754716981132076,0.9110875447556546,0.5749386724386721,0.16136363636363615,28,0.6798665017001136
xgboost,ok,0.4997390758750948,0.270010813340588,0.4997390758750948,0.45479720279720276,0.270010813340588,0.4539345606065781,0.46226415094339623,0.9290332568720271,0.7108405483405482,0.25907647907647896,26,1.5873896332998507
random_forest,ok,0.49146219904251226,0.2587147971796928,0.49146219904251226,0.4495358392392572,0.2587147971796928,0.4483702767626399,0.45754716981132076,0.90302409423323,0.7489357864357864,0.284076479076479,32,3.7554054171834044
