trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
0,COMPLETE,0.4922153738922366,39.38958,300,7,0.07259248719561363,1.2067245262919604,0.004207988669606638,0.7799726016810132
1,COMPLETE,0.48893101163240493,11.652535,100,7,0.05092911283433821,2.897705266717829,0.0012087541473056963,4.8495492608099715
2,COMPLETE,0.4919681127794826,14.25045,500,4,0.016362239850894633,0.04342298948286135,0.016480446427978974,2.6237821581611893
3,COMPLETE,0.5133620616965084,9.328994,300,5,0.05243180891902853,0.030551818670802627,0.01474275315991467,1.8318092164684585
4,COMPLETE,0.5092003432157772,38.983106,300,7,0.017172542103877867,0.613840438900799,0.23423849847112907,0.23225206359998862
5,PRUNED,0.39257941629874304,3.980726,400,4,0.011926324174062874,19.924621034349894,7.2866537374910445,4.041986740582305
6,PRUNED,0.47527318008053976,1.72394,200,4,0.06378528225249058,0.3392060513051209,0.003077180271250686,2.475884550556351
7,PRUNED,0.45957519914705924,3.66776,100,7,0.020153425505297702,2.0121961636102865,0.017654048052495083,2.600340105889054
8,COMPLETE,0.4983338227627014,9.564591,400,4,0.13814017620274424,4.957135786745318,5.727904470799623,4.474136752138244
9,PRUNED,0.47254256228065794,18.391533,400,7,0.012707942999213693,0.04802376182711899,0.0015167330688076208,1.6266516538163218
10,PRUNED,0.43979647423614865,7.809775,600,5,0.03203999390196693,0.01154663983622327,0.24633394792989574,3.451235367845725
11,PRUNED,0.4663888987325681,7.231054,300,6,0.02993633366485958,0.20889593223302055,0.34573965849534793,0.0647050806991333
12,COMPLETE,0.505584818327654,12.807102,200,6,0.023913753133285993,0.12785563849920584,0.051103332581514,1.1723476648593896
13,COMPLETE,0.5094463983073302,7.97999,200,5,0.09249420681277237,0.012350513841427399,1.220833879764511,0.43184460909635236
14,PRUNED,0.479579327314104,2.98788,200,5,0.09828469428249857,0.010872502938520393,1.154530310050353,1.491696174497196
15,PRUNED,0.473272852432307,2.958077,200,5,0.04434978819346499,0.035706105826621995,1.5558921022520469,2.008377304151142
16,PRUNED,0.4847749841402226,1.319716,100,5,0.10104841744245222,0.09775321116455843,0.045046017246530755,0.7327328475016244
17,PRUNED,0.4874724040559564,11.765308,500,6,0.07964165149439882,0.020408315417919064,1.4012366471299678,0.736494341677159
18,COMPLETE,0.5171522072075498,11.45684,300,5,0.1431293171685342,0.09778600189762601,0.013934238056159174,3.211810280697476
19,PRUNED,0.4631914813376713,11.011411,500,6,0.14506634714163275,0.11225667168704363,0.010476790916451198,3.3354231978153357
20,PRUNED,0.4710951967961607,4.366459,300,5,0.053623074370753435,0.3599183296893673,0.00775149422128992,3.219106892035166
21,COMPLETE,0.48835138005243517,8.116202,200,5,0.10599008132310571,0.032833850445301925,0.0351297007442427,3.9823934447105245
22,PRUNED,0.4762227878756357,4.915882,300,5,0.1192838159950562,0.019918349029494128,0.08324157562958769,2.1558107798824984
23,PRUNED,0.4580222197806972,6.539188,400,5,0.08473199921826143,0.07914108625260668,0.5256834768399704,2.7947438168212493
24,PRUNED,0.476416508332437,5.788664,200,6,0.059232193006655484,0.02339537816135909,0.024010654598399652,1.9058582891010847
25,PRUNED,0.42184106302920343,2.871788,300,4,0.04075547913358209,0.06625703260370058,0.11733032154342607,1.2003924643686859
26,PRUNED,0.4813582254885455,1.619065,100,5,0.12202067884919474,0.010056245122118236,0.004501571612948484,2.9852233751971995
27,PRUNED,0.45782552608397664,4.853992,200,6,0.08575819676058981,0.018929458351201158,0.12031535060673901,3.8059916049299076
28,COMPLETE,0.5154256573275774,10.102341,300,5,0.07150781222726682,0.13899297424841595,0.00907918691433539,0.4169981221230319
29,COMPLETE,0.5168599442116092,9.06548,400,4,0.06932266687950628,0.1764956751185404,0.003865787912413207,1.1480889797561291
30,COMPLETE,0.5160919296842974,7.063438,400,4,0.0686131655573817,0.8198834992268227,0.002502127643654382,1.2175500580059708
31,COMPLETE,0.5155222341329492,7.000763,400,4,0.06963901846148163,0.8561511968297044,0.002452479303703566,1.1315400661546717
32,PRUNED,0.479609606274572,2.749998,400,4,0.06781098128811762,0.8756520947371039,0.002041995786819693,1.0566605913579974
33,PRUNED,0.47362252849024394,3.51706,500,4,0.04770455016445223,1.9110485909112145,0.004867027660644554,1.469827271327047
34,PRUNED,0.4963625506911668,5.907378,400,4,0.035870938252814455,0.27977527128638957,0.002203984984675365,2.3394704534846325
35,COMPLETE,0.5297079732861678,11.030266,600,4,0.056752810995512,0.588070843333651,0.0010786928530269536,0.9210559004153521
36,PRUNED,0.4970038135952346,4.326242,600,4,0.057102677877343674,0.5441710634000223,0.001024727124403131,0.8654270307519225
37,PRUNED,0.4895837348101427,4.588177,600,4,0.03778067653954373,3.8270212065567626,0.006235771513422576,0.49246185341616333
38,PRUNED,0.4638381941289451,4.782238,500,4,0.07744069352392671,0.20862921364115095,0.003329750924272887,1.582185379337245
39,PRUNED,0.48392993732415424,4.286551,500,4,0.12173126878294072,0.5192444940658438,0.0011000027119649862,4.530756464468004
40,PRUNED,0.5003193210076436,7.729112,600,4,0.048289952458159084,1.3621683921897514,0.013840516498990079,1.7926701716127327
41,PRUNED,0.4961524965620434,3.898613,400,4,0.0662688853420719,0.7646246408109146,0.0025756359481088342,1.317514378260492
42,PRUNED,0.5003756074284136,6.953371,400,4,0.059081973837200076,1.0261613888689827,0.0016810896739930554,0.9516884926308711
43,PRUNED,0.4754373640702675,4.10881,500,4,0.07507717916321137,0.43153273504575074,0.003473889710799661,0.10925829289226519
44,PRUNED,0.4910295633000282,2.804135,300,4,0.02731592473106227,6.032742059954454,0.0015189618033664889,1.3250615368399998
45,PRUNED,0.5030907592435906,13.494065,400,4,0.043651395170482554,0.1768587783916859,0.006107497719138179,2.295411825592266
46,PRUNED,0.455212669206443,6.463966,300,4,0.05228322966806122,1.3542677340246587,0.002938071114464153,0.5399250217136697
47,PRUNED,0.47541264406443573,7.706128,400,4,0.06218645605281882,8.828701286662723,0.021077926852213724,3.6120840358471398
48,PRUNED,0.51019698413298,19.05913,500,4,0.11071189249349905,2.2088464455502073,0.011849590686776742,3.079969146783125
49,PRUNED,0.4947604130601023,8.552862,400,4,0.09015411207817904,0.2819219092820373,0.0016930581104491684,1.7227140753906647
