parameter,importance
min_child_samples,0.6162565270255244
max_depth,0.2593581922117776
subsample,0.05801888072582118
n_estimators,0.030532435973483003
reg_lambda,0.01834358532698245
colsample_bytree,0.009960663362058678
learning_rate,0.006954820773369514
reg_alpha,0.0005748946009833823
