feature,importance,importance_share
χ⁺(excl Li⁺),1021,0.17959542656112576
r⁺(excl Li⁺) (pm),967,0.1700967458223395
n_Li,882,0.15514511873350922
ρ⁺(excl Li⁺) (C m⁻³),826,0.14529463500439754
Φ⁺(excl Li⁺) (|Z| pm⁻¹),704,0.12383465259454705
nₕₒₛₜ cₐₜᵢₒₙ,541,0.09516270888302551
χ⁻,415,0.07299912049252419
r⁻ (pm),329,0.05787159190853122
