trial,state,value,param_n_estimators,param_learning_rate,param_minibatch_frac
0,COMPLETE,0.3477068798599096,600,0.0862735828664018,0.8659969709057025
1,COMPLETE,0.35624520595360465,800,0.007979118876474874,0.5779972601681014
2,COMPLETE,0.34930235163588197,200,0.06697167353375243,0.8005575058716043
3,COMPLETE,0.3769565901962125,900,0.005318033256270142,0.9849549260809971
4,COMPLETE,0.34602337412109885,1100,0.009445600138094694,0.5909124836035503
5,PRUNED,0.35337710478474793,400,0.012439367209907218,0.762378215816119
6,PRUNED,0.3511406929756114,600,0.011963764382790322,0.8059264473611898
7,PRUNED,0.3573725624493535,300,0.011996621453406362,0.6831809216468459
8,PRUNED,0.3578387788831408,700,0.05254210669345883,0.5998368910791798
9,COMPLETE,0.33842625666796555,700,0.029493012052163467,0.5232252063599989
10,PRUNED,0.3507999817309541,1200,0.035040701181980986,0.5037736596581466
11,COMPLETE,0.3411599203418675,1100,0.022222056423415633,0.5193625999805914
12,PRUNED,0.350491293369029,1000,0.02063525722227617,0.5171526126317667
13,PRUNED,0.35864598930266817,500,0.024484700503497187,0.6746703141669272
14,COMPLETE,0.33898797819861903,900,0.022178771611643423,0.6675659776615787
15,PRUNED,0.35196728442358394,800,0.03949463811932913,0.6732209481081874
16,PRUNED,0.3519224734156865,900,0.0300899885448628,0.6441753370796763
17,PRUNED,0.34971734550203853,700,0.016873331234943702,0.7219286545167717
18,COMPLETE,0.34062650098450176,900,0.04774605944681462,0.8963210549539139
19,PRUNED,0.36452562357112883,500,0.017169028219664234,0.5633856221893719
20,PRUNED,0.351073648635219,700,0.02712179296044654,0.633781474556722
21,PRUNED,0.35449865752467263,900,0.04627648095038139,0.9313758125338716
22,PRUNED,0.34737011643035837,1000,0.06333271284281268,0.8862370144080042
23,PRUNED,0.3681717331732532,800,0.09952983414456681,0.7238132226569732
24,PRUNED,0.35102876613671896,1000,0.03296255904532607,0.837738191287059
25,PRUNED,0.35713117617830864,1200,0.04528740894338109,0.984634926024359
26,PRUNED,0.3483288392299838,800,0.0182667207625722,0.9066334529850724
27,PRUNED,0.3510186883119102,600,0.05945473774306442,0.7610941442549342
28,PRUNED,0.35627091191725746,900,0.0390599839564581,0.5467306243995885
29,COMPLETE,0.3425088864584098,1100,0.029076845253227523,0.9438872354180711
30,PRUNED,0.3675849662780633,700,0.07405716959093185,0.8332678196538594
31,PRUNED,0.3468049349077711,1100,0.020951707875609852,0.534505326170095
32,PRUNED,0.35826428035290014,1000,0.014732030408586139,0.6008405912286457
33,COMPLETE,0.342532054395538,800,0.02387823432654627,0.5468628645074469
34,PRUNED,0.34827115857311547,1100,0.02705567181255336,0.6188484938305487
35,PRUNED,0.3507101951947105,900,0.007122409535813465,0.5756140167690373
36,PRUNED,0.35109058545886096,1200,0.03651396643751032,0.7100440500626461
37,COMPLETE,0.34910996060458066,500,0.04813367488378949,0.5071348321188653
38,PRUNED,0.3532569886682389,600,0.01507258586416423,0.6501938866414211
39,COMPLETE,0.3395238606642884,1000,0.07570045351914988,0.7899431882351862
40,PRUNED,0.372947433723683,200,0.08436195955774858,0.792237108206803
41,PRUNED,0.35185475052758264,1100,0.07451413427103318,0.8573475293120298
42,PRUNED,0.3465871499682854,1000,0.05548911906382809,0.7723448614279353
43,PRUNED,0.3523783611116068,900,0.01976849071609603,0.8135227753658845
44,PRUNED,0.3563242790424414,1000,0.04074417054233037,0.5290493972391798
45,COMPLETE,0.337498566354045,800,0.023638684463150383,0.7403254177925918
46,PRUNED,0.35105633539216,700,0.010120195701246344,0.6967278050286844
47,PRUNED,0.35275939813813784,800,0.09219903943327279,0.7364353653005065
48,PRUNED,0.3495406311744343,800,0.03215788335272595,0.8624410386005651
49,COMPLETE,0.34531081162498545,900,0.07183061567833707,0.7732052104533939
