parameter,importance
min_child_samples,0.540310801771294
colsample_bytree,0.1592588565020784
subsample,0.14206616054752538
max_depth,0.1341363503801436
n_estimators,0.014816935142242414
learning_rate,0.006580110598997469
reg_alpha,0.0017075324358420468
reg_lambda,0.001123252621876642
