trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
0,COMPLETE,0.5745104765564234,0.08936182533331993,2000,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07,3
1,COMPLETE,0.5631919584146897,0.07446930097129548,1600,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07,6
2,COMPLETE,0.6576337652164114,0.09162973868847289,800,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936,4
3,COMPLETE,0.5894180224064909,0.05401182051612162,700,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05,4
4,COMPLETE,0.5642473647360704,0.09664037712883754,500,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07,7
5,PRUNED,0.6815796636165066,,2800,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892,-1
6,PRUNED,0.7477593613817195,,2800,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07,7
7,COMPLETE,0.5183102481359446,0.07166884026738105,2500,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416,-1
8,PRUNED,0.7096924499597584,,1800,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06,8
9,COMPLETE,0.5421406193341216,0.08236106374391959,800,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788,8
10,PRUNED,0.6887496480730989,,2300,0.1787420026976868,24,5,0.5193625999805914,0.975862447567252,37.80747516031668,10.352501001707477,5
11,COMPLETE,0.5206044572113858,0.07161733326057002,1200,0.018597283282763298,61,11,0.7409481648316648,0.8716448625177555,0.0025910223171523522,0.44411365237381617,-1
12,PRUNED,0.7456365966163497,,1400,0.017603882995810383,46,6,0.7042257209786791,0.6546984799111754,0.001438199276284204,17.25714824694535,-1
13,PRUNED,0.666694976207025,,1200,0.005668556987876377,40,16,0.5127747474052715,0.9239870037577447,0.4999558033625193,0.20913743590562375,-1
14,PRUNED,0.6855826686892682,,2400,0.14541732629077195,63,28,0.6201424721738792,0.6707693675530373,3.361843100961712,0.07825066960080047,10
15,COMPLETE,0.5322106222831711,0.07331295020245128,1100,0.01945966304406648,53,13,0.7498651102346463,0.779590747337984,0.0011827223934645777,0.8352163847302402,-1
16,PRUNED,0.731506270824705,,2400,0.005668645112939297,38,34,0.5699799075096479,0.8405864541996997,42.894493937549996,0.005861700073815664,-1
17,COMPLETE,0.5452824050397274,0.06227665936804305,3000,0.05021236735584221,8,10,0.6900913631930553,0.6204411482230936,0.10408775034178816,1.6954394388646967,3
18,PRUNED,0.6590889564740801,,2000,0.04535138783951744,33,24,0.7507285077111834,0.7201212360311999,0.9265734753473168,0.005478746334124282,6
19,PRUNED,0.6593504935175513,,1200,0.009169274770698147,21,19,0.5752933364244929,0.9098084201459646,0.0062640976591407235,0.009910101835633213,10
20,PRUNED,0.6543499763456712,,1500,0.019538639563975342,14,11,0.6593712979980784,0.6206599321284435,12.672727054857997,2.63261581675291,5
21,COMPLETE,0.5282829390827432,0.07742922679884347,1100,0.015709912586105233,56,13,0.7655861314080078,0.7730743674994942,0.00120660915846567,0.6404667853256366,-1
22,COMPLETE,0.5135868782177084,0.07404984279994278,1000,0.012879919704736119,56,9,0.7585214153922891,0.7502787560778973,0.002162906989192953,0.3678071536298123,-1
23,COMPLETE,0.5056343280099153,0.07709877722460191,900,0.02433524767199284,57,8,0.8133001509596279,0.8565683556171962,0.00545747791011578,0.0372871738865202,-1
24,COMPLETE,0.5081876905339165,0.07336154818035262,500,0.008094207599600958,52,6,0.8147125541641834,0.7349489716554356,0.004493809764089669,0.03585275488477337,-1
25,COMPLETE,0.5104788048909554,0.07089445395695088,500,0.007883112611338602,52,6,0.8271233654125332,0.8189354291617247,0.003992760540690172,0.028139206301286676,-1
26,COMPLETE,0.5068570769077677,0.07120307505959843,500,0.008267298274040331,48,6,0.8223987100993478,0.8181077676353276,0.006190221590544272,0.0006904711484919364,-1
27,PRUNED,0.711257504157702,,700,0.005131459074263,46,38,0.82554414430436,0.9771702577301693,0.011684899522658639,0.0003055523626581393,-1
28,PRUNED,0.6411440522106333,,500,0.0069903307809037665,41,22,0.9541427269868172,0.904177998748554,0.07598928213688748,0.0013963961871386974,10
29,PRUNED,0.670591056812889,,800,0.023935979966714743,50,28,0.8789622334230687,0.7113705686492063,0.005892674223104734,6.907237870241734e-05,7
