model,status,tuning_weighted_macro_f1,tuning_doi_macro_f1,validation_weighted_macro_f1,validation_macro_f1,validation_doi_macro_f1,validation_balanced_accuracy,validation_accuracy,validation_weighted_log_loss,validation_weighted_ordinal_mae,validation_weighted_severe_reversal_rate,best_trial,elapsed_minutes
lightgbm,ok,0.5682559294051279,0.29336835327660926,0.4709592521250194,0.46263583848089684,0.2554160626691771,0.4594988444505163,0.4669811320754717,1.1470110623764471,0.7468722943722945,0.2553066378066377,25,2.926534132066687
catboost,ok,0.5611685116717499,0.2883427234020436,0.47140761148048327,0.4589885330443537,0.2529218804627874,0.4589096849846876,0.4669811320754717,1.0273494851612792,0.7279040404040403,0.2545129870129869,37,24.783802554533516
xgboost,ok,0.5577624678411739,0.2826334682899433,0.4959366148769128,0.4782422490402117,0.26182766240737254,0.47925513545924076,0.4858490566037736,1.117554112695332,0.6795923520923521,0.22442279942279933,40,6.10254975254987
random_forest,ok,0.5296498711492991,0.26810303172256233,0.4482929934625268,0.41394823394823393,0.24124834069725706,0.4148545981002691,0.42452830188679247,0.9956232205600735,0.7915981240981241,0.29753968253968255,10,6.261178019949876
