parameter,importance
min_child_samples,0.846135344015936
max_depth,0.05858134994523532
subsample,0.04355587884067595
n_estimators,0.028727871391173818
learning_rate,0.017090343438647917
colsample_bytree,0.0029729400797383564
reg_lambda,0.00283432647860804
reg_alpha,0.00010194580998448966
