feature,importance,importance_share
d_mean_c,568,0.0680158064902407
atwt_geometric_mean_all,506,0.06059154592264399
mp_variance_c_l,484,0.05795713088252904
entropy_c_l,472,0.05652017722428452
Vs_variance_c_l,462,0.055322715842414084
r_mean_l,429,0.051371093282241646
ir_mean_square_all,379,0.04538378637288947
rₐₗₗ (pm),350,0.041911148365465216
field_x_r_diff,320,0.03831876421985391
χₐₗₗ,294,0.03520536462699078
