trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.545308504854471,115.155888,300,7,0.07259248719561363,1.2067245262919604,0.004207988669606638,0.7799726016810132,0.275722430491871,0.05582793212321097,"[0.4532364320952637, 0.5947179959297703, 0.6033440419384455, 0.5133430424991766, 0.5619010118096993]"
1,COMPLETE,0.48774445516978676,42.259733,100,7,0.05092911283433821,2.897705266717829,0.0012087541473056963,4.8495492608099715,0.25169751876436974,0.08786001792473035,"[0.31948882253124494, 0.5067343461279387, 0.5733488969809908, 0.502665952743214, 0.5364842574655454]"
2,COMPLETE,0.4897355618705648,14.293975,500,4,0.016362239850894633,0.04342298948286135,0.016480446427978974,2.6237821581611893,0.25048532843549276,0.08761158692160116,"[0.32084248170330587, 0.5170590142204654, 0.5670010901884645, 0.4987571472340926, 0.5450180760064954]"
3,COMPLETE,0.514410131530184,14.410949,300,5,0.05243180891902853,0.030551818670802627,0.01474275315991467,1.8318092164684585,0.26435668970000925,0.09085555611268824,"[0.33889876832990207, 0.5749537148891691, 0.5859402884020702, 0.5168426862807721, 0.5554151997490063]"
4,COMPLETE,0.5334980541025772,112.099685,300,7,0.017172542103877867,0.613840438900799,0.23423849847112907,0.23225206359998862,0.26908946222680685,0.08978217601320722,"[0.3683367128091523, 0.6002913828816321, 0.5715569957613666, 0.51218656594595, 0.6151186131147851]"
5,PRUNED,0.35819214650083764,5.836839,400,4,0.011926324174062874,19.924621034349894,7.2866537374910445,4.041986740582305,,,
6,PRUNED,0.4478180050801768,2.672074,200,4,0.06378528225249058,0.3392060513051209,0.003077180271250686,2.475884550556351,,,
7,PRUNED,0.41233705485255767,7.381261,100,7,0.020153425505297702,2.0121961636102865,0.017654048052495083,2.600340105889054,,,
8,PRUNED,0.4409261197356096,16.612686,400,4,0.13814017620274424,4.957135786745318,5.727904470799623,4.474136752138244,,,
9,COMPLETE,0.5172264141072738,121.341271,400,7,0.012707942999213693,0.04802376182711899,0.0015167330688076208,1.6266516538163218,0.2643316129171293,0.053176861500069665,"[0.4249113860611147, 0.5747478650637124, 0.5614390973973394, 0.5000872566856334, 0.5249464653285691]"
10,PRUNED,0.5039353493450061,38.457097,600,6,0.11923554250535776,0.2085880162511821,0.3633741340913686,0.19362599980591444,,,
11,COMPLETE,0.5402011384860019,31.867586,300,6,0.02993633366485958,0.8286674947620709,0.34573965849534793,0.046136865642064984,0.27981327395786065,0.0951653234474269,"[0.3609888018081611, 0.634557897973289, 0.5718949293323116, 0.5364146962965203, 0.597149367019728]"
