χₐₗₗ,χ⁻,χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(incl Li⁺) / r⁻,ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₒₛₜ cₐₜᵢₒₙ,n_Li,r_ratio_x_chi_diff,log_rho_ratio,n_Li × r⁻ (pm),chi_range_x_r_avg,field_x_r_diff
2.1,3.44,1.9,-2.345,-1.54,2.46,98.40714285714284,138.2,68.5625,76.0,-62.19999999999999,-69.63749999999999,0.4961107091172214,28978758058.690765,163262370788.13593,435615304993.695,5.633863620293187,0.0211866471734892,0.0657894736842105,0.0714285714285714,0.5,-1.1633796128798843,0.7508063297511056,69.1,242.08157142857138,-1.475385142543854
1.990952380952381,2.58,2.19,-1.237,-0.3900000000000001,1.6,121.3095238095238,184.0,52.35,17.0,-167.0,-131.65,0.2845108695652174,12278644599.949677,11763701986622.424,38922178734970.95,958.061933535452,0.0986056644880174,0.2941176470588235,0.1428571428571428,0.3333333333333333,-0.3519399456521739,2.9813935847813493,61.33333333333333,194.09523809523807,-12.981435729847492
1.990952380952381,2.58,2.19,-1.237,-0.3900000000000001,1.6,121.3095238095238,184.0,52.35,17.0,-167.0,-131.65,0.2845108695652174,12278644599.949677,11763701986622.424,38922178734970.95,958.061933535452,0.0986056644880174,0.2941176470588235,0.1428571428571428,0.3333333333333333,-0.3519399456521739,2.9813935847813493,61.33333333333333,194.09523809523807,-12.981435729847492
1.8284090909090909,2.58,2.046,-1.377916666666667,-0.5340000000000003,1.6,117.35227272727272,184.0,61.8125,40.2,-143.8,-122.1875,0.3359375,12278644599.949677,1982149422356.7424,9041768954029.035,161.43063725167727,0.0384760506457011,0.128388746803069,0.1136363636363636,0.4318181818181819,-0.4628938802083334,2.2079859611584056,79.45454545454547,187.76363636363635,-4.7012924382716035
1.8838323353293407,2.58,2.127,-1.33632183908046,-0.4529999999999998,1.6,118.4760479041916,184.0,58.22413793103448,27.15,-156.85,-125.77586206896552,0.316435532233883,12278644599.949677,6038181164402.469,25849499455808.86,491.76284200189457,0.0623542259371403,0.2216112531969309,0.1197604790419161,0.4011976047904191,-0.4228597123851867,2.6917557100000913,73.82035928143712,189.5616766467066,-7.842656520886871
1.8903614457831328,2.58,2.136,-1.3311627906976746,-0.4439999999999999,1.6,118.60843373493977,184.0,57.77906976744186,25.7,-158.3,-126.22093023255816,0.3140166835187057,12278644599.949677,6541254868842.249,27717025067117.73,532.7342782499835,0.065315860081815,0.2319693094629156,0.1204819277108433,0.3975903614457832,-0.41800732475838875,2.726510641924434,73.15662650602411,189.77349397590365,-8.244228618466302
1.8969696969696968,2.58,2.145,-1.3258823529411763,-0.435,1.6,118.74242424242424,184.0,57.3235294117647,24.25,-159.75,-126.6764705882353,0.3115409207161125,12278644599.949677,7056165601621.789,29584550678426.6,574.6697482921453,0.068347179735776,0.2423273657289002,0.1212121212121212,0.3939393939393939,-0.4130666089965397,2.759418335648415,72.48484848484848,189.9878787878788,-8.65797950358786
1.9036585365853655,2.58,2.1539999999999995,-1.3204761904761908,-0.4260000000000006,1.6,118.8780487804878,184.0,56.85714285714285,22.8,-161.2,-127.14285714285714,0.3090062111801242,12278644599.949677,7583336113753.222,31452076289735.47,617.6036819067392,0.0714506736672124,0.2526854219948849,0.1219512195121951,0.3902439024390243,-0.40803534457261176,2.790709876425823,71.80487804878047,190.2048780487805,-9.084442794831292
1.872142857142857,2.58,2.074,-1.3513636363636363,-0.5060000000000002,1.6,117.72619047619048,184.0,57.477272727272734,23.4,-160.6,-126.52272727272728,0.3123764822134388,12278644599.949677,5790651864444.596,25056061853776.4,471.60350780641767,0.0625740470660256,0.2249554367201426,0.119047619047619,0.4047619047619047,-0.4221342189184334,2.6735770267354035,74.47619047619047,188.36190476190478,-7.917039091285557
1.9009756097560973,2.58,2.132,-1.3257142857142858,-0.4480000000000004,1.6,118.56097560975608,184.0,56.238095238095234,20.2,-163.8,-127.76190476190476,0.3056418219461697,12278644599.949677,7711203733905.175,31989120294373.67,628.0175039789635,0.0730818926897358,0.2595365418894831,0.1219512195121951,0.3902439024390243,-0.40519372966577927,2.7979717484753093,71.80487804878047,189.69756097560975,-9.337081813645769
