feature,importance
Vs_variance_c_l,842.0
mp_variance_c_l,840.0
r_mean_l,806.0
atwt_geometric_mean_all,750.0
rₐₗₗ (pm),749.0
χₐₗₗ,676.0
chi_range_x_r_avg,650.0
entropy_c_l,630.0
d_mean_c,582.0
χ⁺(incl Li⁺) - χ⁻,570.0
ir_mean_square_all,548.0
s_mean_square_c,523.0
n_Li,521.0
tau_cationic,514.0
χ⁺(excl Li⁺) - χ⁻,504.0
ρ⁺(incl Li⁺) (C m⁻³),499.0
r_ratio_x_chi_diff,486.0
field_x_r_diff,485.0
nₕₒₛₜ cₐₜᵢₒₙ,469.0
Φ⁺(excl Li⁺) (|Z| pm⁻¹),457.0
r⁺(incl Li⁺) - r⁻,413.0
r⁺(incl Li⁺) (pm),391.0
χ⁺(excl Li⁺),370.0
ρ⁺(incl Li⁺) / ρ⁻,369.0
r⁺(incl Li⁺) / r⁻,363.0
Φ⁺(incl Li⁺) (|Z| pm⁻¹),358.0
n_Li × r⁻ (pm),321.0
r⁺(excl Li⁺) - r⁻,305.0
r⁺(excl Li⁺) (pm),299.0
ρ⁺(excl Li⁺) (C m⁻³),268.0
delta_anion,212.0
family,187.0
ρ⁻ (C m⁻³),128.0
log_rho_ratio,125.0
χ⁻,118.0
r⁻ (pm),75.0
χₘₐₓ - χₘᵢₙ,27.0
