parameter,importance
min_child_samples,0.7948962735680299
subsample,0.05409112000165267
max_depth,0.0419691934125884
colsample_bytree,0.03767429154307385
n_estimators,0.034886425745749
learning_rate,0.030433529333748533
reg_lambda,0.005750906404113718
reg_alpha,0.0002982599910438813
