Feature set,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R²,Test R²
26 features (legacy),0.23876220858481764,0.46976064631232733,0.3531811564836141,0.659083632318321,0.8871029712355062,0.5400214157966089
34 features (+ Small features),0.1127982905741638,0.41710929219625137,0.2452026347487643,0.5891013800107974,0.9430290490643645,0.7078430467321597
35 features (+ Family),0.106805100623675,0.42934975856500357,0.2348939949747704,0.6069161794513355,0.947718621244941,0.6899058471709982
