feature_a,feature_b,spearman_r,abs_r,importance_a,importance_b,target_abs_corr_a,target_abs_corr_b
r⁺(excl Li⁺) - r⁻,Φ⁺(excl Li⁺) (|Z| pm⁻¹),-0.8901630749226044,0.8901630749226044,214,225,0.3426000123228284,0.3483324427027095
rₐₗₗ (pm),r_mean_l,0.8878692179688986,0.8878692179688986,350,429,0.16894698092830068,0.19202902852902942
r⁻ (pm),ρ⁻ (C m⁻³),-0.8864763402692888,0.8864763402692888,19,21,0.2626154873565828,0.29518703294919313
χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,0.8801374491613673,0.8801374491613673,190,228,0.31122715306128307,0.31618792414052577
χₘₐₓ - χₘᵢₙ,r⁻ (pm),-0.8777398236961359,0.8777398236961359,9,19,0.33752353821061337,0.2626154873565828
d_mean_c,s_mean_square_c,0.8768728805814808,0.8768728805814808,568,264,0.37464885180971985,0.311387691690825
s_mean_square_c,chi_range_x_r_avg,0.8766619251470905,0.8766619251470905,264,279,0.311387691690825,0.29412907025437834
r⁺(excl Li⁺) - r⁻,ρ⁺(excl Li⁺) (C m⁻³),-0.8766378400978256,0.8766378400978256,214,219,0.3426000123228284,0.33508269227671783
r⁺(excl Li⁺) (pm),r_ratio_x_chi_diff,-0.8752170370692777,0.8752170370692777,182,264,0.377074980253423,0.3144100954528867
χₐₗₗ,nₕₒₛₜ cₐₜᵢₒₙ,0.8735720664750629,0.8735720664750629,294,146,0.16782580094768307,0.16594635877161162
χ⁺(excl Li⁺) - χ⁻,Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.8726568982634572,0.8726568982634572,230,225,0.3078623587513762,0.3483324427027095
χ⁺(excl Li⁺),r⁺(incl Li⁺) - r⁻,-0.8607316406143615,0.8607316406143615,190,268,0.31122715306128307,0.34110498353935637
χ⁺(excl Li⁺) - χ⁻,ρ⁺(excl Li⁺) (C m⁻³),0.8600422314823043,0.8600422314823043,230,219,0.3078623587513762,0.33508269227671783
r⁺(incl Li⁺) (pm),Φ⁺(incl Li⁺) (|Z| pm⁻¹),-0.8597720826786315,0.8597720826786315,173,165,0.25047682202122507,0.18700060369139934
r⁺(excl Li⁺) (pm),d_mean_c,0.8542342224949327,0.8542342224949327,182,568,0.377074980253423,0.37464885180971985
