ID,化学式,电导率（S/cm）,制备方式,family
exp_076,Li1.2FeO1.2H1.2Cl3,0.001062,unknow,halides
exp_077,Li2ZrCl6,0.000411,unknow,halides
exp_078,Li3Zr0.75OCl4,0.001005,unknow,halides
exp_079,Li1.75ZrCl4.75O0.5,0.001008,unknow,halides
exp_080,Li5.43P0.97Zr0.03S4.34O0.06ClBr0.6,0.01186,unknow,argyrodites
exp_081,Li5.45P0.95Zr0.05S4.3O0.1ClBr0.6,0.01091,unknow,argyrodites
exp_082,Li5.47P0.93Zr0.07S4.26O0.14ClBr0.6,0.00873,unknow,argyrodites
exp_083,Li5.5P0.9Zr0.1S4.2O0.2ClBr0.6,0.00859,unknow,argyrodites
exp_084,Li5.6P0.85Zr0.2S4O0.4ClBr0.6,0.00273,unknow,argyrodites
exp_085,Li5.7P0.7Zr0.3S3.8O0.6ClBr0.6,0.00066,unknow,argyrodites
exp_086,Li3.45Sn0.09Si0.36P0.55S3.65O0.35,0.0054,unknow,thio_lisicon
exp_087,Li9.54Si1.566Sn0.174P1.44S11.1Br0.3O0.6,0.0099,unknow,lgps
exp_088,Li9.54Si1.566Sn0.174P1.34Sb0.1S11.1Br0.3O0.6,0.00922,unknow,lgps
exp_089,Li9.54Si1.566Sn0.174P1.34Sb0.2S11.1Br0.3O0.6,0.00999,unknow,lgps
exp_090,Li9.54Si1.566Sn0.174P1.34Sb0.3S11.1Br0.3O0.6,0.00813,unknow,lgps
exp_091,Li9.54Si1.566Sn0.174P1.34As0.1S11.1Br0.3O0.6,0.01236,unknow,lgps
exp_092,Li9.54Si1.566Sn0.174P1.34As0.2S11.1Br0.3O0.6,0.01357,unknow,lgps
exp_093,Li9.54Si1.566Sn0.174P1.34As0.3S11.1Br0.3O0.6,0.01055,unknow,lgps
exp_094,Li9.54Si1.74P1.44S11.7Br0.3,0.0058,unknow,lgps
exp_095,Li9.54Si1.74P1.44S11.4Br0.3O0.3,0.0088,unknow,lgps
exp_096,Li9.54Si1.74P1.44S11.1Br0.3O0.6,0.0109,unknow,lgps
exp_097,Li9.54Si1.74P1.44S10.8Br0.3O0.9,0.0067,unknow,lgps
exp_098,Li9.54(Si0.9Ge0.1)1.74P1.44S11.1Br0.3O0.6,0.0123,unknow,lgps
exp_099,Li9.54(Si0.8Ge0.2)1.74P1.44S11.1Br0.3O0.6,0.0113,unknow,lgps
