trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
0,COMPLETE,0.738875173950189,0.19594791293821595,2000,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07,3
1,COMPLETE,0.738875173950189,0.19594791293821595,1600,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07,6
2,COMPLETE,0.738875173950189,0.19594791293821595,800,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936,4
3,COMPLETE,0.738875173950189,0.19594791293821595,700,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05,4
4,COMPLETE,0.738875173950189,0.19594791293821595,500,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07,7
5,COMPLETE,0.738875173950189,0.19594791293821595,2800,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892,-1
6,COMPLETE,0.738875173950189,0.19594791293821595,2800,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07,7
7,COMPLETE,0.7363842591709012,0.19798146542366196,2500,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416,-1
8,COMPLETE,0.738875173950189,0.19594791293821595,1800,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06,8
9,COMPLETE,0.738875173950189,0.19594791293821595,800,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788,8
10,COMPLETE,0.738875173950189,0.19594791293821595,2300,0.1787420026976868,24,5,0.5193625999805914,0.975862447567252,37.80747516031668,10.352501001707477,5
11,COMPLETE,0.738875173950189,0.19594791293821595,2100,0.1713024789936754,7,7,0.9967540484909989,0.6064311490097013,0.0011382235839863643,19.18106780029347,3
12,COMPLETE,0.738875173950189,0.19594791293821595,2400,0.05861762919606328,41,31,0.7178156436932556,0.6919720886614996,0.001438199276284204,0.08252774200910808,-1
13,COMPLETE,0.738875173950189,0.19594791293821595,1700,0.048996299932710145,7,16,0.5127747474052715,0.6447834904844454,1.057753536711165,0.21201196024215907,3
14,COMPLETE,0.738875173950189,0.19594791293821595,1200,0.11691805471914507,37,28,0.6286191428179752,0.5022490607066668,44.436994003965076,0.0023876223541651432,10
15,COMPLETE,0.738875173950189,0.19594791293821595,3000,0.0481974408029938,17,37,0.9284675714479165,0.6730845208574329,0.004627006446895869,2.6926890426334223e-08,-1
16,COMPLETE,0.730606705207687,0.2030906279738899,2500,0.01876408933670978,7,12,0.77640190996579,0.5255583503417005,0.13322069448712603,1.0609152597295913e-05,3
17,COMPLETE,0.738875173950189,0.19594791293821595,2500,0.005456717557849793,52,15,0.770047510056797,0.7626732002201613,0.4350116418549224,2.7826705547516652e-05,6
18,COMPLETE,0.7374857920012492,0.19706924375494606,2700,0.017165615538516178,19,11,0.5786494384178739,0.8426477647827442,0.12364225166132477,1.3047610830089347,10
19,COMPLETE,0.738875173950189,0.19594791293821595,1400,0.016859324195955854,12,23,0.7137596762689252,0.6273500506630266,2.1277706290224665,0.0022926025035503138,5
20,PRUNED,0.7653208307042445,,2100,0.006656909977970198,7,11,0.6721534289156451,0.5916727974094228,12.672727054857997,4.351848286005584e-06,3
21,PRUNED,0.765479503171077,,2700,0.021841710585974478,21,10,0.5707085807795883,0.89413416013077,0.14105560135783715,1.4864015284476368,10
22,COMPLETE,0.738875173950189,0.19594791293821595,3000,0.016364384755276695,31,21,0.5688864392803811,0.8203734668018496,0.08748647648484198,1.0556191678086466,10
23,COMPLETE,0.7381137060062191,0.19675941698265598,2600,0.021977982264114283,14,12,0.5665828076873176,0.936857037816016,0.34078175652513276,0.007888126407423219,-1
24,PRUNED,0.765322896289436,,2300,0.009202686660897748,22,6,0.6627477635556983,0.7296217692616401,0.07259376507134908,2.6471515092475633,10
25,COMPLETE,0.738875173950189,0.19594791293821595,2500,0.01523849871034261,27,19,0.7452202904452782,0.5031309868061836,2.165337126433326,0.00021342088527621141,10
