parameter,importance
min_child_samples,0.8493473164524211
subsample,0.10558359598922806
reg_alpha,0.018427252599603833
n_estimators,0.008851476177805134
learning_rate,0.006721844002377163
colsample_bytree,0.005942434201875599
max_depth,0.005112474647273499
reg_lambda,1.3605929415321073e-05
