feature,importance,importance_share
χ⁻,311,0.3160569105691057
r⁻ (pm),232,0.23577235772357724
χ⁺(excl Li⁺),134,0.13617886178861788
r⁺(excl Li⁺) (pm),109,0.11077235772357724
n_Li,86,0.08739837398373984
ρ⁺(excl Li⁺) (C m⁻³),57,0.057926829268292686
nₕₒₛₜ cₐₜᵢₒₙ,29,0.029471544715447155
Φ⁺(excl Li⁺) (|Z| pm⁻¹),26,0.026422764227642278
