model,n_comparable_pairs,n_inverted_pairs,n_predicted_tie_pairs,pairwise_inversion_rate,spearman_rank_correlation,kendall_rank_correlation
26_refactored_without_family,6321,2835,1,0.4485049833887043,0.1536727675041407,0.10279930927028198
34_without_family,6321,2830,1,0.4477139693086537,0.17188793100457736,0.1043808371052094
35_with_family,6321,2588,1,0.40942888783420345,0.26853642409821854,0.1809267843156963
