version,rows,mae_log10,rmse_log10,r2_log10,spearman_rank_correlation,kendall_rank_correlation,n_comparable_pairs,n_inverted_pairs,n_predicted_tie_pairs,pairwise_inversion_rate
legacy,113,1.2632509269613712,1.3933110508234607,-9.949390294451657,0.12543094665220791,0.08097422514828366,6321,2904,1,0.45942097769340295
refactored,113,1.0898721160795994,1.2039549371961853,-7.17549838981018,0.1536727675041407,0.10279930927028198,6321,2835,1,0.4485049833887043
