model,n_comparable_pairs,n_inverted_pairs,n_predicted_tie_pairs,pairwise_inversion_rate,spearman_rank_correlation,kendall_rank_correlation
old_26_features,6321,2904,1,0.45942097769340295,0.12543094665220791,0.08097422514828366
35_with_family,6321,2588,1,0.40942888783420345,0.26853642409821854,0.1809267843156963
34_without_family,6321,2830,1,0.4477139693086537,0.17188793100457736,0.1043808371052094
