trial,state,value,param_n_estimators,param_learning_rate,param_minibatch_frac
0,COMPLETE,0.5286366763863721,600,0.0862735828664018,0.8659969709057025
1,COMPLETE,0.5260135973296822,800,0.007979118876474874,0.5779972601681014
2,COMPLETE,0.5141615428422189,200,0.06697167353375243,0.8005575058716043
3,COMPLETE,0.5401799150930564,900,0.005318033256270142,0.9849549260809971
4,COMPLETE,0.5226112998496786,1100,0.009445600138094694,0.5909124836035503
5,PRUNED,0.5644109198891635,400,0.012439367209907218,0.762378215816119
6,PRUNED,0.5532175154877096,600,0.011963764382790322,0.8059264473611898
7,PRUNED,0.5782687127225598,300,0.011996621453406362,0.6831809216468459
8,PRUNED,0.5708339321434845,700,0.05254210669345883,0.5998368910791798
9,PRUNED,0.5588367271249999,700,0.029493012052163467,0.5232252063599989
10,PRUNED,0.5580089284399319,200,0.028566833462447407,0.9267360518846168
11,PRUNED,0.5655091198739722,1200,0.09513528576323955,0.6720834849561147
12,PRUNED,0.5660119286950908,1200,0.04450106385425426,0.7043364594588368
13,COMPLETE,0.5145016692426316,1000,0.01713215708494683,0.8219478330091868
14,COMPLETE,0.5194734505842596,1000,0.019184598621532423,0.8340245817346167
15,PRUNED,0.545244605043584,500,0.019992748790471936,0.8851162228834389
16,COMPLETE,0.5179577976929777,900,0.04922661577740281,0.7691310446848962
17,PRUNED,0.5515175655104395,200,0.0310022611485452,0.935910394948163
18,PRUNED,0.5355759621468231,1000,0.07144927374622803,0.8103064970085668
19,PRUNED,0.5558873160836016,400,0.01616114376988859,0.7282716783254813
20,PRUNED,0.5425817522407562,800,0.03265519261685923,0.8806457396980467
21,PRUNED,0.5373569998270399,900,0.056287675148798615,0.8026254813791167
22,PRUNED,0.5423160020714217,1000,0.04030387883826655,0.7584910652382572
23,PRUNED,0.5512977901929763,900,0.06580039891072381,0.7655620151757302
24,PRUNED,0.5424315821262407,1100,0.039407819175992356,0.6592359589883686
25,PRUNED,0.5369948363380309,800,0.024648551877219666,0.8514770447627371
26,COMPLETE,0.5209530242358393,1100,0.07763875623383988,0.9177897357851573
27,PRUNED,0.5448517991387728,600,0.05604613117616226,0.7912554411220167
28,COMPLETE,0.5183912447941579,900,0.016980238477620202,0.7246810780357402
29,PRUNED,0.5441334396710289,600,0.09061041688239926,0.6411272982691975
30,COMPLETE,0.517212039506569,800,0.024791775609263978,0.834661321442925
31,COMPLETE,0.5155948878956333,800,0.023634729015585797,0.8492538537986014
32,PRUNED,0.5331184298853758,800,0.022868201592084546,0.8539942662545156
33,PRUNED,0.5518993021946216,700,0.015038501813590377,0.9836141883597723
34,PRUNED,0.5668263973217449,800,0.006110760818263243,0.8300313027428179
35,PRUNED,0.5812442317925872,500,0.008606661248983412,0.898996612572312
36,PRUNED,0.5459824314729695,1000,0.009933637228478584,0.9567133849273981
37,PRUNED,0.5438888320427578,500,0.024962080692482437,0.8622811391389598
38,PRUNED,0.5398463305353929,700,0.01404594496148899,0.8342304208227252
39,PRUNED,0.5488620494765704,300,0.019462380957183185,0.7306742819292088
40,PRUNED,0.5447639823299583,800,0.036690773569026246,0.7850069671225748
41,PRUNED,0.5428310599499745,900,0.04908229876358894,0.7776250216198113
42,PRUNED,0.5392845338630441,900,0.06137327874565651,0.8203292325579025
43,PRUNED,0.5413710370886068,700,0.07966927980236531,0.7465682158725228
44,PRUNED,0.5438377930982717,1000,0.026720598497642817,0.8745707387466476
45,COMPLETE,0.5138149060503159,800,0.013215578234908803,0.8011602572373964
46,PRUNED,0.5693767984174065,600,0.010120195701246344,0.9031206066420567
47,PRUNED,0.5368747275104649,800,0.012821640120320848,0.8416881351796102
48,PRUNED,0.5806998698396216,600,0.006791265431091283,0.8072768907738654
49,PRUNED,0.5200479393963539,700,0.01876280185050735,0.7897598617239215
