parameter,importance
min_child_samples,0.7339232790017018
learning_rate,0.1286290304315975
colsample_bytree,0.06259820154052761
subsample,0.043923166085496276
reg_lambda,0.017766866997173565
max_depth,0.006781838978922133
n_estimators,0.0063435260264360855
reg_alpha,3.409093814488913e-05
