trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
0,COMPLETE,0.5069005969543607,5.442642,300,7,0.07259248719561363,1.2067245262919604,0.004207988669606638,0.7799726016810132
1,COMPLETE,0.5100482172490175,2.426369,100,7,0.05092911283433821,2.897705266717829,0.0012087541473056963,4.8495492608099715
2,COMPLETE,0.5248502740997354,1.448482,500,4,0.016362239850894633,0.04342298948286135,0.016480446427978974,2.6237821581611893
3,COMPLETE,0.5884979199297637,1.453274,300,5,0.05243180891902853,0.030551818670802627,0.01474275315991467,1.8318092164684585
4,COMPLETE,0.5405460676967838,5.028025,300,7,0.017172542103877867,0.613840438900799,0.23423849847112907,0.23225206359998862
5,COMPLETE,0.603984974167875,1.210576,400,4,0.011926324174062874,19.924621034349894,7.2866537374910445,4.041986740582305
6,COMPLETE,0.5391100371274358,0.661458,200,4,0.06378528225249058,0.3392060513051209,0.003077180271250686,2.475884550556351
7,COMPLETE,0.4992633307487022,1.722823,100,7,0.020153425505297702,2.0121961636102865,0.017654048052495083,2.600340105889054
8,COMPLETE,0.517206123042065,1.150385,400,4,0.13814017620274424,4.957135786745318,5.727904470799623,4.474136752138244
9,COMPLETE,0.5347195574246132,6.557205,400,7,0.012707942999213693,0.04802376182711899,0.0015167330688076208,1.6266516538163218
10,COMPLETE,0.6034923958855555,2.992156,600,5,0.027143052490931286,20.94857019644736,8.621541870304563,3.9118863494340887
11,COMPLETE,0.5771652317983539,2.084641,600,5,0.028968383597063933,29.39220007378748,9.620746057162918,3.820927533995366
12,COMPLETE,0.5048640902967151,3.255617,600,5,0.025283085092415867,22.903856894271208,1.9659491610578472,3.7042463905732115
13,COMPLETE,0.5462241414121422,4.161624,500,6,0.01180551620609182,10.022252451549129,0.6037998650470773,3.780583977260802
14,COMPLETE,0.5562017148854207,4.432864,500,6,0.03382047203182425,8.11023154278035,1.6225959851872789,3.304278626461432
15,COMPLETE,0.5517779850943249,2.2949,600,4,0.010716390668239331,0.1690438465739897,2.7788779599325695,4.3035211119010075
16,COMPLETE,0.5333123951488083,2.010119,400,5,0.10104841744245222,13.454175008411024,0.5500230784316144,3.2561396552114963
17,COMPLETE,0.5595941372088716,4.811545,500,6,0.022732578431125427,4.329477176607888,0.07263445168053329,4.846349260243589
18,COMPLETE,0.5049587798163622,0.78771,200,4,0.04302298980443086,1.114266787166134,4.5117814992087775,4.217501678433071
19,COMPLETE,0.509473706978056,3.45248,600,5,0.03472285098206073,0.11311354060823874,0.7689178899002096,3.0779574375744945
20,COMPLETE,0.4708633607131576,0.855593,200,4,0.01413997430870013,12.856239158126405,0.07913583441105378,1.9714161224379423
21,COMPLETE,0.5908817619518736,1.570814,300,5,0.04916296671414071,0.09285658026153726,0.010637210556042337,1.5067079565836354
22,COMPLETE,0.5526486064481163,2.123413,400,5,0.04054567969920647,0.0102920260275958,0.040230748936206415,1.288923595726442
23,COMPLETE,0.547247956887313,3.143497,300,6,0.0811650360248707,0.19482722339902203,0.20672379216982842,1.006818104614414
24,COMPLETE,0.5828123482911701,1.449172,200,5,0.01905139889385087,0.0807880559187892,9.944686538187675,2.2559909214619767
25,COMPLETE,0.5083862358064501,2.314079,500,5,0.029862771450721172,0.012164080472835626,1.520960308545942,3.095228097807846
26,COMPLETE,0.5787745740959206,1.164532,400,4,0.04817160741203558,0.6896157196266691,0.004501571612948484,0.5467373080238216
27,COMPLETE,0.5428410805150022,2.629302,300,6,0.10009292355883351,0.3393411112074605,0.26913433771605466,1.4145541001542337
28,COMPLETE,0.5514566668937342,2.100136,400,5,0.05973301561739951,5.576972760959572,0.00925632622689202,4.041632967607541
29,COMPLETE,0.5646092086253737,1.042864,300,4,0.08114393644768755,16.227737917086063,4.023437051510953,4.542656043543099
30,COMPLETE,0.5192172676192991,5.030258,500,6,0.010206488164088277,1.61644907055456,0.03737089904188725,3.5139705273497466
31,COMPLETE,0.5434607775915956,1.383148,300,5,0.054610024983365375,0.022323709735158813,0.010531060324571375,1.8751545585081173
32,COMPLETE,0.54956329824497,1.338237,300,5,0.04719470639147246,0.027520660738681743,0.0030144484234536427,0.9121901971364813
33,COMPLETE,0.5428678660077412,0.481539,100,5,0.06875233216396777,0.061793497776555524,0.03560284915122428,1.98251765303577
34,COMPLETE,0.5197534148460247,0.625713,200,4,0.014870766695544239,0.021687818998023318,0.017250534829410108,2.906522073113885
35,COMPLETE,0.5561633849317816,1.369404,300,5,0.03550581714618599,3.0329031539135367,0.005848960280408754,4.98782029480007
36,COMPLETE,0.5348189693823072,0.869648,300,4,0.02692826932069703,0.037320908396435364,0.02465756151454069,2.406520703681669
37,COMPLETE,0.5444545590374197,1.710102,200,6,0.058348590466554745,0.08598404768752203,0.001839194493925807,0.1098373453113961
38,COMPLETE,0.5324662718390982,0.604865,100,5,0.02173054686498698,0.4111148734618586,0.9657545083298853,1.6494341140783821
39,COMPLETE,0.5209034282841395,1.207308,400,4,0.01800576108823993,0.21927286646421087,0.1629912277895461,2.832226702543669
40,COMPLETE,0.5129486060495893,1.376524,300,5,0.07530884607247085,23.79078253453981,0.01128741426469,2.22412152128966
41,COMPLETE,0.5599376707452548,0.91477,200,5,0.016480024528836963,0.0864863644533161,9.870383832457525,2.2408648519356236
42,COMPLETE,0.6394172148632935,0.895749,200,5,0.019035020527290544,0.015264600888690498,6.3709099638888125,1.2949928286632426
43,COMPLETE,0.5068172142992796,0.479347,100,5,0.013431154190095202,0.03810734350024009,5.627458936897314,0.5784842595516153
44,COMPLETE,0.5615740715580329,0.895033,200,5,0.023878168362493436,0.015545188930024165,2.9278401961749885,1.18178772113008
