feature,importance,importance_share
chi_range_x_r_avg,335,0.1697061803444782
r⁺(excl Li⁺) (pm),269,0.13627152988855115
ρ⁺(excl Li⁺) (C m⁻³),240,0.12158054711246201
Φ⁺(excl Li⁺) (|Z| pm⁻¹),210,0.10638297872340426
n_Li,192,0.0972644376899696
χ⁺(excl Li⁺),176,0.08915906788247213
r⁺(incl Li⁺) (pm),173,0.08763931104356636
n_Li × r⁻ (pm),139,0.07041540020263425
nₕₒₛₜ cₐₜᵢₒₙ,119,0.06028368794326241
χ⁻,69,0.034954407294832825
