model,status,tuning_weighted_macro_f1,tuning_doi_macro_f1,validation_weighted_macro_f1,validation_macro_f1,validation_doi_macro_f1,validation_balanced_accuracy,validation_accuracy,validation_weighted_log_loss,validation_weighted_ordinal_mae,validation_weighted_severe_reversal_rate,best_trial,elapsed_minutes
lightgbm,ok,0.5739782634482553,0.2931237698127066,0.4601288306590557,0.43585426613630474,0.24530061805284795,0.4385519010591588,0.4481132075471698,1.0077519457610113,0.7606457431457432,0.2725396825396825,33,3.5266350115166762
catboost,ok,0.5620111691813157,0.28572807505456777,0.4353155110212557,0.41808233548530804,0.2431195381765742,0.4190963565088364,0.42924528301886794,0.9738777742851077,0.8140151515151517,0.30947330447330446,35,11.208177215783508
random_forest,ok,0.5380174389117685,0.27201417271211037,0.43935057631981783,0.40204233772048914,0.22981111263464205,0.40504855584776345,0.41509433962264153,0.9937071746607835,0.7917640692640693,0.29135642135642137,32,9.039890456000043
xgboost,ok,0.534248197532185,0.2723574588425162,0.46703669975344236,0.4470726764101393,0.24494249189608194,0.4445611378652125,0.4528301886792453,1.1812454770377177,0.7348809523809524,0.26443362193362185,43,8.26134584679991
