model,status,cv_mae,train_mae,test_mae,test_rmse,test_r2
lightgbm,ok,0.4923750091887353,0.10680510062367503,0.42934975856500357,0.6069161794513355,0.6899058471709982
random_forest,ok,0.5029133329853941,0.23928366012275235,0.46979908994189284,0.6163595927187188,0.6801808492556553
decision_tree,ok,0.5730046235623201,0.33238174222027306,0.515026956793646,0.6913938551148016,0.5975729385884657
mlp,ok,0.6045182522993634,0.8084610640293515,0.7979301991296027,0.9889231504758459,0.17669408768587203
ngboost,ok,0.5046458488706341,0.20303651878762774,0.4949415382089135,0.6834155602411947,0.6068069143020745
