trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.5398712286543528,50.374438,300,7,0.07259248719561363,1.2067245262919604,0.004207988669606638,0.7799726016810132,0.27337410745438745,0.06028215643216301,"[0.4330695613159768, 0.5711861327057214, 0.5967364490025248, 0.5147186983188237, 0.5836453019287174]"
1,COMPLETE,0.4879702687986057,12.276007,100,7,0.05092911283433821,2.897705266717829,0.0012087541473056963,4.8495492608099715,0.2531189642366392,0.10555743049729231,"[0.28689820088244866, 0.5570190668794864, 0.5863229807037557, 0.49310013280521653, 0.5165109627221217]"
2,COMPLETE,0.4880218626555406,11.617054,500,4,0.016362239850894633,0.04342298948286135,0.016480446427978974,2.6237821581611893,0.2534695759471242,0.08124030355561407,"[0.33191433542277915, 0.5173960011050784, 0.5245754070077009, 0.4987230456883771, 0.5675005240537675]"
3,COMPLETE,0.5299202226992702,10.484326,300,5,0.05243180891902853,0.030551818670802627,0.01474275315991467,1.8318092164684585,0.27008824948378923,0.04554753325038951,"[0.45601238614012796, 0.5685064356039257, 0.5680775123475471, 0.4971844592097345, 0.5598203201950157]"
4,COMPLETE,0.514565837998006,56.079217,300,7,0.017172542103877867,0.613840438900799,0.23423849847112907,0.23225206359998862,0.2639063246112735,0.08340547960941502,"[0.36144280842649984, 0.5514709168782305, 0.5580355268117944, 0.4987961559604995, 0.6030837819130063]"
5,PRUNED,0.3451316656180699,4.004687,400,4,0.011926324174062874,19.924621034349894,7.2866537374910445,4.041986740582305,,,
6,PRUNED,0.4163719550152568,1.950908,200,4,0.06378528225249058,0.3392060513051209,0.003077180271250686,2.475884550556351,,,
7,PRUNED,0.419294741064305,5.798083,100,7,0.020153425505297702,2.0121961636102865,0.017654048052495083,2.600340105889054,,,
8,PRUNED,0.4290183134079454,3.917121,400,4,0.13814017620274424,4.957135786745318,5.727904470799623,4.474136752138244,,,
9,COMPLETE,0.5233166423901005,73.902294,400,7,0.012707942999213693,0.04802376182711899,0.0015167330688076208,1.6266516538163218,0.263186468301668,0.06107032967680285,"[0.42056870227049786, 0.5602069385545783, 0.598971134351597, 0.4965287070303253, 0.5403077297435036]"
10,PRUNED,0.46839665859249224,15.265013,600,6,0.11923554250535776,0.2085880162511821,0.3633741340913686,0.19362599980591444,,,
11,COMPLETE,0.5412303472244523,14.803619,300,5,0.07512581125290073,0.01058267298458871,0.01774175914935124,1.2388727526096672,0.2742799846332057,0.06099800547760692,"[0.4352545974526565, 0.562966364681195, 0.6072503850675078, 0.5158739404100633, 0.5848064485108391]"
12,COMPLETE,0.5468492818129053,14.744193,200,6,0.08573121231492478,0.011740742471714227,0.051103332581514,1.0016164459088965,0.27928577375890756,0.06763157276331916,"[0.42921299827182424, 0.598465929668537, 0.5929962844895048, 0.5118380288413036, 0.6017331677933567]"
13,COMPLETE,0.53874014314251,12.143193,200,5,0.09185855546121562,0.01107023388046398,0.07495849797769727,1.2863721831577055,0.2757701706335005,0.0641404127634618,"[0.4345463079031417, 0.5890725754526916, 0.6206701250731572, 0.5186309379859115, 0.5307807692976478]"
14,COMPLETE,0.5413800160703401,17.372515,200,6,0.03373618202708562,0.011577885318092519,0.11399654597808395,0.9851344730206275,0.27140305586186597,0.06832197842424016,"[0.4271220923918577, 0.5842118775562289, 0.5995833930778914, 0.4981166686863164, 0.5978660486394058]"
15,PRUNED,0.41601440914303633,13.577181,200,6,0.03181085434354895,0.10312498047695033,1.5558921022520469,3.427523040644672,,,
16,PRUNED,0.4938727749730033,3.44808,100,6,0.03495337593931401,0.02919573144809402,0.08045968258202271,0.7325166404003178,,,
17,PRUNED,0.4699611850804736,7.413155,200,6,0.026212768481045996,0.13204436540927297,0.45834003230538695,0.7721284581178038,,,
18,PRUNED,0.4219490637567008,6.344072,200,6,0.04790454802140979,0.01485565477523837,0.05059240092100796,2.0597892511074325,,,
19,PRUNED,0.4028730947951658,2.21096,100,5,0.09830873314125667,0.09353535567450692,1.1349835828662918,3.563400347637047,,,
20,PRUNED,0.4857907350397934,23.714084,500,6,0.025113660660668106,0.021892126343732193,0.20610254062242855,1.2104873071540285,,,
21,PRUNED,0.4606835236627205,7.754049,300,5,0.08284054144044123,0.01180502727748336,0.032035588390084274,1.2496530056454662,,,
22,PRUNED,0.47043675902381976,7.944606,200,5,0.04139870109543188,0.01001350017951381,0.007561732739274253,0.5187538380767707,,,
