parameter,importance
min_child_samples,0.6141574624920668
colsample_bytree,0.10393090336012976
max_depth,0.0999986022401079
subsample,0.07495353152598387
n_estimators,0.060087268509406926
reg_alpha,0.03469040325712961
reg_lambda,0.007836417457600692
learning_rate,0.004345411157574422
