trial,state,value,param_n_estimators,param_learning_rate,param_minibatch_frac
0,COMPLETE,0.527426246277101,600,0.0862735828664018,0.8659969709057025
1,COMPLETE,0.5121974455879353,800,0.007979118876474874,0.5779972601681014
2,COMPLETE,0.5046458488706341,200,0.06697167353375243,0.8005575058716043
3,COMPLETE,0.5307171553552388,900,0.005318033256270142,0.9849549260809971
4,COMPLETE,0.5135681692876324,1100,0.009445600138094694,0.5909124836035503
5,PRUNED,0.5648432887158158,400,0.012439367209907218,0.762378215816119
6,COMPLETE,0.5129094629938711,600,0.011963764382790322,0.8059264473611898
7,PRUNED,0.5745019275541923,300,0.011996621453406362,0.6831809216468459
8,PRUNED,0.5578527235966236,700,0.05254210669345883,0.5998368910791798
9,PRUNED,0.5473428377237551,700,0.029493012052163467,0.5232252063599989
10,PRUNED,0.5544113704997152,200,0.028566833462447407,0.9267360518846168
11,PRUNED,0.5681209882008511,1200,0.05376048457795349,0.6990216711100883
12,PRUNED,0.5669275142173598,900,0.0051759337139537015,0.8446915952933692
13,PRUNED,0.5470031889431257,900,0.09766687638198744,0.6780456116674968
14,COMPLETE,0.5059930532709866,400,0.020730501571254816,0.5339101338813105
15,COMPLETE,0.5083885002312337,400,0.021167040790669677,0.5039212725161619
16,PRUNED,0.5722749103385301,200,0.017884079238334537,0.7470892373614533
17,PRUNED,0.559243293860331,400,0.0418183447343965,0.8972926077850367
18,PRUNED,0.5260501573553314,500,0.035506903247518616,0.633266285671255
19,PRUNED,0.5201898555817321,200,0.06323206530093685,0.7952849340079737
20,PRUNED,0.5540729308921485,300,0.017434175991021043,0.7178656694220492
21,PRUNED,0.5169649569641281,400,0.02216629005360471,0.5130741002604472
22,PRUNED,0.5470890009979894,300,0.024222629014074085,0.5330085703428384
23,PRUNED,0.5445998082541117,500,0.017251789430967935,0.637148643569418
24,PRUNED,0.537877947607229,500,0.039051741230828566,0.5611921455291131
25,PRUNED,0.5497220139869535,300,0.02190441066192923,0.5022963472106557
26,PRUNED,0.5434145208752816,400,0.06976706845956322,0.6334518760377763
27,PRUNED,0.5489208428372736,200,0.030455397804188267,0.5610397379279206
28,COMPLETE,0.5072224242849596,600,0.014944125501759596,0.8342795480868572
29,PRUNED,0.5541732539261982,600,0.013812097942106298,0.8202469679640267
30,PRUNED,0.5662310249962952,600,0.008855282103418882,0.8772998573302471
31,PRUNED,0.5507793101740052,500,0.0168550486997333,0.8492538537986014
32,PRUNED,0.5309067490357332,800,0.02160831128886831,0.7679282338034605
33,PRUNED,0.6195562103381456,300,0.006488157424599393,0.9442346344848073
34,PRUNED,0.547483725048863,400,0.014429279715198513,0.8303244762858795
35,PRUNED,0.5610857328891796,600,0.010051315717424339,0.8862651588538628
36,PRUNED,0.5423717696654663,800,0.02687859293315394,0.7828309847406062
37,PRUNED,0.5525777212759398,500,0.03317708486726302,0.7307992882283062
38,PRUNED,0.6039140425441836,400,0.006985342777854764,0.986723038852093
39,PRUNED,0.5179213253324372,1000,0.019462380957183185,0.6051077388782024
40,PRUNED,0.5502349011819241,700,0.01024932089171441,0.5401910763608964
41,PRUNED,0.5530788825335339,800,0.007336974600843911,0.5416252957189989
42,PRUNED,0.5447075805112304,700,0.014811036115507046,0.5789401775517738
43,PRUNED,0.5443841874454352,800,0.011614261866644401,0.5709687715290893
44,PRUNED,0.5531349636241034,1000,0.044100564103033264,0.6676592117403177
45,PRUNED,0.552462685030763,700,0.012661858864426343,0.5019648563849364
46,PRUNED,0.607180135571331,300,0.008807993674169956,0.9199621069541876
47,PRUNED,0.5273499564559063,600,0.025563846140730203,0.6154423932917732
48,PRUNED,0.6672756735767839,200,0.006084663393912704,0.8070788753422742
49,PRUNED,0.5469031381476633,900,0.08570395687969021,0.5495734813027903
