feature,importance,importance_share
χₐₗₗ,69,0.06484962406015038
rₐₗₗ (pm),68,0.06390977443609022
χ⁺(incl Li⁺) - χ⁻,67,0.06296992481203008
Φ⁺(excl Li⁺) (|Z| pm⁻¹),65,0.06109022556390977
chi_range_x_r_avg,63,0.05921052631578947
r_ratio_x_chi_diff,61,0.05733082706766917
ρ⁺(incl Li⁺) / ρ⁻,59,0.05545112781954887
ρ⁺(excl Li⁺) (C m⁻³),50,0.046992481203007516
r⁺(incl Li⁺) - r⁻,50,0.046992481203007516
field_x_r_diff,49,0.046052631578947366
