feature,importance,importance_share
χ⁺(incl Li⁺) - χ⁻,45,0.1618705035971223
chi_range_x_r_avg,31,0.11151079136690648
r⁺(excl Li⁺) - r⁻,24,0.08633093525179857
Li_channel_size,18,0.06474820143884892
rₐₗₗ (pm),18,0.06474820143884892
χ⁺(excl Li⁺) - χ⁻,18,0.06474820143884892
ρ⁺(incl Li⁺) / ρ⁻,17,0.06115107913669065
χ⁺(excl Li⁺),17,0.06115107913669065
χₐₗₗ,16,0.05755395683453238
r_ratio_x_chi_diff,12,0.04316546762589928
