model,status,cv_mae,train_mae,test_mae,test_rmse,test_r2
lightgbm,ok,0.5162533417519654,0.11311307452720293,0.4686361944748349,0.6301479523341631,0.6657116778965622
random_forest,ok,0.5092945089770804,0.2534236631088714,0.48916704145653406,0.6394785733725589,0.6557387498651053
decision_tree,ok,0.5306179646108764,0.37325715124033043,0.6185009831805243,0.7982514269649376,0.46356691711864284
mlp,ok,0.7284161219191133,0.8609624989359471,0.9485679966302878,1.1475898999377703,-0.10868859835533629
ngboost,ok,0.5103276430705586,0.2726013318100477,0.4833425377866684,0.6711873307825192,0.6207516961433499
