parameter,importance
min_child_samples,0.7328425787261644
colsample_bytree,0.11727436085035121
max_depth,0.04451646300152953
subsample,0.04373966762277947
n_estimators,0.029743045346500588
learning_rate,0.023293010949275807
reg_lambda,0.005615415267382457
reg_alpha,0.002975458236016583
