model,status,cv_weighted_macro_f1,cv_doi_macro_f1,validation_weighted_macro_f1,validation_macro_f1,validation_doi_macro_f1,validation_balanced_accuracy,validation_accuracy,validation_weighted_log_loss,validation_weighted_ordinal_mae,validation_weighted_severe_reversal_rate,best_trial,elapsed_minutes
catboost,ok,0.5126362334886343,0.28784059405080187,0.5130444718576365,0.4034540497120683,0.2554143563299816,0.4206959090685219,0.41338582677165353,1.230199566298122,0.6881570431202783,0.23262197871572873,20,15.974784016383152
xgboost,ok,0.5112947943016357,0.2855515076627492,0.5157635831257726,0.4675266274353886,0.2524456084271341,0.5044008047516937,0.4921259842519685,1.1444126006376705,0.667413831062728,0.1963021761734997,21,11.159488962966133
lightgbm,ok,0.49800755284901344,0.2879523662519022,0.5471036162785827,0.4957692597617971,0.25316045248738017,0.5066688767952638,0.5,1.5353183126945584,0.6190235469187675,0.17403346755368815,0,12.249381123883843
random_forest,ok,0.4620075264572555,0.2662288032698467,0.47071906483259635,0.333489613859872,0.2302554501550058,0.3653131491476726,0.3562992125984252,0.9661207411794792,0.738272695441813,0.22655341492657669,28,19.085263363583362
