feature,importance,importance_share
r_ratio_x_chi_diff,52,0.06598984771573604
ρ⁺(incl Li⁺) / ρ⁻,50,0.06345177664974619
r⁺(incl Li⁺) - r⁻,45,0.05710659898477157
Φ⁺(excl Li⁺) (|Z| pm⁻¹),44,0.05583756345177665
field_x_r_diff,43,0.05456852791878172
χₐₗₗ,42,0.0532994923857868
rₐₗₗ (pm),42,0.0532994923857868
r⁺(excl Li⁺) - r⁻,41,0.05203045685279188
Φ⁺(incl Li⁺) (|Z| pm⁻¹),38,0.048223350253807105
nₕₒₛₜ cₐₜᵢₒₙ,36,0.04568527918781726
