,median
χₐₗₗ,2.3505555555555557
χ⁻,3.242000000000001
χ⁺(excl Li⁺),1.78
χ⁺(incl Li⁺) - χ⁻,-1.9864102564102566
χ⁺(excl Li⁺) - χ⁻,-1.5857999999999999
χₘₐₓ - χₘᵢₙ,2.46
rₐₗₗ (pm),116.84129692832764
r⁻ (pm),163.35
r⁺(incl Li⁺) (pm),67.5
r⁺(excl Li⁺) (pm),65.3
r⁺(excl Li⁺) - r⁻,-102.66699999999999
r⁺(incl Li⁺) - r⁻,-100.16874999999999
r⁺(incl Li⁺) / r⁻,0.38652367024157724
ρ⁻ (C m⁻³),17029039695.353384
ρ⁺(incl Li⁺) (C m⁻³),415778088910.7319
ρ⁺(excl Li⁺) (C m⁻³),657315243334.32
ρ⁺(incl Li⁺) / ρ⁻,28.30584123934527
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.04363929146537843
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.06608443153897699
nₕₒₛₜ cₐₜᵢₒₙ,0.14388489208633093
n_Li,0.2654774396642183
r_ratio_x_chi_diff,-0.76657835581246
log_rho_ratio,1.4518760664870527
n_Li × r⁻ (pm),40.30833333333333
chi_range_x_r_avg,270.25636451926187
field_x_r_diff,-3.0956655646535705
ir_mean_square_all,15037.610866530084
d_mean_c,2.9365079365079363
r_mean_l,93.88644688644689
s_mean_square_c,37.09375
entropy_c_l,0.6730116670092565
Vs_variance_c_l,10331667614030.432
mp_variance_c_l,191859.55440000002
atwt_geometric_mean_all,19.68353830927874
