model,pairs,accuracy,macro_f1,balanced_accuracy,decrease,unchanged,increase
catboost,121,0.4793388429752066,0.3214170692431562,0.3270944741532977,68,9,44
random_forest,121,0.48760330578512395,0.3438855857303551,0.34803921568627444,68,9,44
xgboost,121,0.47107438016528924,0.3345836459114779,0.3328877005347593,68,9,44
lightgbm,121,0.4380165289256198,0.3171014492753623,0.30793226381461675,68,9,44
